diplomacy_negotiation_string_options_tables	4
key	string	option	group
accept	Troll_Dip_Acceptance_Negative_01	0	diplomacy_Subcult_Troll_&_Negative
accept	Troll_Dip_Acceptance_Negative_02	1	diplomacy_Subcult_Troll_&_Negative
accept	Troll_Dip_Acceptance_Negative_03	2	diplomacy_Subcult_Troll_&_Negative
demand_payment	Troll_Dip_Demand_Payments_Negative_01	0	diplomacy_Subcult_Troll_&_Negative
generic_offer_demand	Troll_Dip_Generic_Offer_Negative_01	0	diplomacy_Subcult_Troll_&_Negative
generic_offer_demand	Troll_Dip_Generic_Offer_Negative_02	1	diplomacy_Subcult_Troll_&_Negative
generic_offer_demand	Troll_Dip_Generic_Offer_Negative_03	2	diplomacy_Subcult_Troll_&_Negative
generic_reject	Troll_Dip_Rejection_Negative_01	0	diplomacy_Subcult_Troll_&_Negative
generic_reject	Troll_Dip_Rejection_Negative_02	1	diplomacy_Subcult_Troll_&_Negative
generic_reject	Troll_Dip_Rejection_Negative_03	2	diplomacy_Subcult_Troll_&_Negative
receive	Troll_Dip_Greet_Neg_01	0	diplomacy_Subcult_Troll_&_Negative
receive	Troll_Dip_Greet_Neg_02	1	diplomacy_Subcult_Troll_&_Negative
receive	Troll_Dip_Greet_Neg_03	2	diplomacy_Subcult_Troll_&_Negative
accept	Troll_Dip_Acceptance_Positive_01	0	diplomacy_Subcult_Troll_&_Positive
accept	Troll_Dip_Acceptance_Positive_03	1	diplomacy_Subcult_Troll_&_Positive
demand_payment	Troll_Dip_Demand_Payments_Positive_01	0	diplomacy_Subcult_Troll_&_Positive
generic_offer_demand	Troll_Dip_Generic_Offer_Positive_01	0	diplomacy_Subcult_Troll_&_Positive
generic_offer_demand	Troll_Dip_Generic_Offer_Positive_02	1	diplomacy_Subcult_Troll_&_Positive
generic_offer_demand	Troll_Dip_Generic_Offer_Positive_03	2	diplomacy_Subcult_Troll_&_Positive
generic_reject	Troll_Dip_Rejection_Positive_01	0	diplomacy_Subcult_Troll_&_Positive
generic_reject	Troll_Dip_Rejection_Positive_02	1	diplomacy_Subcult_Troll_&_Positive
generic_reject	Troll_Dip_Rejection_Positive_03	2	diplomacy_Subcult_Troll_&_Positive
receive	Troll_Dip_Greet_Pos_01	0	diplomacy_Subcult_Troll_&_Positive
receive	Troll_Dip_Greet_Pos_02	1	diplomacy_Subcult_Troll_&_Positive
receive	Troll_Dip_Greet_Pos_03	2	diplomacy_Subcult_Troll_&_Positive
accept	Troll_Dip_Acceptance_Neutral_01	0	diplomacy_Subcult_Troll
accept	Troll_Dip_Acceptance_Neutral_02	1	diplomacy_Subcult_Troll
accept_state_gift	Troll_Dip_Accept_State_Gift_01	0	diplomacy_Subcult_Troll
accept_state_gift	Troll_Dip_Accept_State_Gift_02	1	diplomacy_Subcult_Troll
accept_state_gift	Troll_Dip_Accept_State_Gift_03	2	diplomacy_Subcult_Troll
acknowledge_accept	Troll_Dip_Acknowledge_Accept_01	0	diplomacy_Subcult_Troll
acknowledge_accept	Troll_Dip_Acknowledge_Accept_02	1	diplomacy_Subcult_Troll
acknowledge_accept	Troll_Dip_Acknowledge_Accept_03	2	diplomacy_Subcult_Troll
acknowledge_cancel_treaty	Troll_Dip_Acknowledge_Cancel_Treaty_01	0	diplomacy_Subcult_Troll
acknowledge_cancel_treaty	Troll_Dip_Acknowledge_Cancel_Treaty_02	1	diplomacy_Subcult_Troll
acknowledge_cancel_treaty	Troll_Dip_Acknowledge_Cancel_Treaty_03	2	diplomacy_Subcult_Troll
acknowledge_reject	Troll_Dip_Acknowledge_Reject_01	0	diplomacy_Subcult_Troll
acknowledge_reject	Troll_Dip_Acknowledge_Reject_02	1	diplomacy_Subcult_Troll
acknowledge_reject	Troll_Dip_Acknowledge_Reject_03	2	diplomacy_Subcult_Troll
acknowledge_war	Troll_Dip_Acknowledge_War_01	0	diplomacy_Subcult_Troll
acknowledge_war	Troll_Dip_Acknowledge_War_02	1	diplomacy_Subcult_Troll
acknowledge_war	Troll_Dip_Acknowledge_War_03	2	diplomacy_Subcult_Troll
cancel_treaty	Troll_Dip_Cancel_Treaty_01	0	diplomacy_Subcult_Troll
cancel_treaty	Troll_Dip_Cancel_Treaty_02	1	diplomacy_Subcult_Troll
cancel_treaty	Troll_Dip_Cancel_Treaty_03	2	diplomacy_Subcult_Troll
