key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/@cr_lore_desert									
ovn_skill_magic_desert_mirage	ovn_spell_desert_mirage.png	The caster summons a mirage to distract enemies.	Mirage	0	false	false	false	0.0	0
ovn_skill_magic_desert_blessing_of_the_elements	ovn_lore_passive_blessing_of_the_elements.png	The caster imbues entire army with magic attack while casting.	Blessing of the Elements	0	false	false	false	0.0	0
ovn_skill_magic_desert_sunstrike	ovn_spell_desert_sunstrike.png	The caster shoots sun beams at the enemy.	Sunstrike	0	false	false	false	0.0	0
ovn_skill_magic_desert_sandstorm	wh2_dlc09_lord_abilities_sand_storm.png	The caster summons a sandstorm to damage and debuff enemies.	Sandstorm	0	false	false	false	0.0	0
ovn_skill_magic_desert_quicksand	ovn_spell_desert_quicksand.png	The caster turns the ground to quicksand, immobalizing enemies.	Quicksand	0	false	false	false	0.0	0
ovn_skill_magic_desert_burning_hands	ovn_spell_desert_burning_hands.png	The caster blasts enemies with fire.	Burning Hands	0	false	false	false	0.0	0
ovn_skill_magic_desert_curse_of_the_djinn	ovn_spell_desert_curse_of_the_djinn.png	The caster debuffs enemies.	Curse of the Djinn	0	false	false	false	0.0	0
ovn_skill_magic_desert_mirage_dummy	ovn_spell_desert_mirage.png	The caster summons a mirage to distract enemies.	Mirage [HIDDEN]	0	false	false	false	0.0	0
ovn_skill_magic_desert_sandstorm_lord	wh2_dlc09_lord_abilities_sand_storm.png	The caster summons a sandstorm to damage and debuff enemies.	Sandstorm	0	false	false	false	0.0	0
