unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
construct	construct_fear_hideForest_undead
causes_fear	construct_fear_hideForest_undead
hide_forest	construct_fear_hideForest_undead
undead	construct_fear_hideForest_undead
construct	construct_fear_terror_undead
causes_fear	construct_fear_terror_undead
undead	construct_fear_terror_undead
causes_terror	construct_fear_terror_undead
hide_forest	hideForest_guerilla_stalk_ignore_trees_mountedfire
guerrilla_deploy	hideForest_guerilla_stalk_ignore_trees_mountedfire
stalk	hideForest_guerilla_stalk_ignore_trees_mountedfire
ignore_trees	hideForest_guerilla_stalk_ignore_trees_mountedfire
mounted_fire_move	hideForest_guerilla_stalk_ignore_trees_mountedfire
