unit_sets_tables	2
key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
mp_cap_ovn_killing_eye	false	-1	-1	
mp_cap_ovn_gharnus_demon	false	-1	-1	
first_wave	false	-1	-1	
swamp_warriors	false	-1	-1	
fimir_rushers	false	-1	-1	
fimir_giants_fen	false	-1	-1	
fimir_bog_monsters	false	-1	-1	
fimir_r7_warriors	true	7	9	
fimir_r7_fast	true	7	9	
fimir_r7_giants	true	7	9	
fimir_r7_auxillaries	true	7	9	
fimir_slaves	false	-1	-1	
fimir_warrior_caste	false	-1	-1	
fimir_untamed_monsters	false	-1	-1	
elo_fimir_shearl	false	-1	-1	
elo_fimir_useful_shearls	false	-1	-1	
elo_fimir_apprentices	false	-1	-1	
elo_low_level_swamp_dwellers	false	-1	-1	
elo_fimir_trolls	false	-1	-1	
elo_swamp_riders	false	-1	-1	
elo_fen_big_dwellers	false	-1	-1	
elo_fen_monster_rulers	false	-1	-1	
elo_fen_lord_heroes	false	-1	-1	
elo_belakor_fimir_demons	false	-1	-1	
elo_demons_papa_nurgle	false	-1	-1	
elo_demons_khoooorne	false	-1	-1	
elo_belakor_hopeless_fodder	false	-1	-1	
elo_belakor_riders_chaos	false	-1	-1	
elo_belakor_armoured_warriors	false	-1	-1	
elo_belakor_twisted_corrupted	false	-1	-1	
elo_belakor_corrupted_giants	false	-1	-1	
elo_belakor_here_to_die	false	-1	-1	
elo_belakor_ranged	false	-1	-1	
elo_belakor_cav	false	-1	-1	
elo_belakor_chaos_infantry	false	-1	-1	
elo_belakor_conjured_monsters	false	-1	-1	
elo_belakor_conscripted_beasts	false	-1	-1	
elo_belakor_r7_fimir_all	true	7	9	
elo_belakor_ranged_r7	true	7	9	
elo_belakor_cav_bog_r7	true	7	9	
elo_champions_chaos_r7	true	7	9	
