warscape_animated_lod_tables	1
key	filename	range	animated
524513111	warmachines/chariot/mtl_reaper/mtl_reaper_01.wsmodel	0.0	mtl_reaper
524513112	warmachines/chariot/mtl_reaper/mtl_reaper_01_destruct.rigid_model_v2	0.0	mtl_reaper_destruct
655258198	warmachines\carriage\mtl_chuckwagon\mtl_chuckwagon_01.wsmodel	0.0	mtl_chuckwagon
655258199	warmachines\carriage\mtl_chuckwagon\mtl_chuckwagon_destruct.rigid_model_v2	0.0	mtl_chuckwagon_destruct
455256191	warmachines\engines\arb_grand_bombard\arb_grand_bombard_01.wsmodel	0.0	arb_grand_bombard
955958496	warmachines\engines\mtl_soupcart\mtl_soupcart_01.wsmodel	0.0	mtl_soupcart
955958498	warmachines\engines\mtl_halftank\mtl_halftank_01.wsmodel	0.0	mtl_halftank
86511001	warmachines\engines\mtl_hotpot\mtl_hotpot_01.wsmodel	0.0	mtl_hotpot
86511002	warmachines\engines\mtl_hotpot\mtl_hotpot_01_destruct.wsmodel	0.0	mtl_hotpot_destruct
86511003	warmachines\engines\mtl_hotpot\mtl_hotpot_ror_01.wsmodel	0.0	mtl_hotpot_ror
86511004	warmachines\engines\mtl_hotpot\mtl_hotpot_ror_01_destruct.wsmodel	0.0	mtl_hotpot_ror_destruct
912750751	warmachines\engines\arb_trebuchet\arb_trebuchet_01.wsmodel	0.0	arb_trebuchet
80020001	warmachines\engines\grn_rocklobber\elo_stonethrower.rigid_model_v2	0.0	wm_stonethrower_albion
8002100	warmachines\engines\chariot\tmb_general_chariot\dread_legion_chariot_01.rigid_model_v2	0.0	dread_legion_chariot_01
888210	warmachines\engines\chariot\tmb_arkhan_chariot\hand_of_nagash_chariot_01.rigid_model_v2	0.0	hand_of_nagash_chariot
888211	warmachines\engines\chariot\tmb_arkhan_chariot\hand_of_nagash_chariot_01_destruct.rigid_model_v2	0.0	hand_of_nagash_chariot_destruct
739160156	warmachines/engines/akp_bolt_thrower/akp_bolt_thrower.rigid_model_v2	0.0	akp_brt_ballista
861312231	warmachines\chariot\arb_golden_magus_ship\arb_golden_magus_ship_01.wsmodel	0.0	arb_ship
861312232	warmachines\chariot\arb_golden_magus_ship\arb_golden_magus_ship_destruct.rigid_model_v2	0.0	arb_ship_destruct
21466556925	warmachines\engines\emp_steam_tank\dwf_steam_tank01.rigid_model_v2	0.0	dwf_dwarf_tank
