key	agent_key	campaign_key	faction_key	subculture	for_army	for_navy	agent_subtype_key
#character_skill_node_sets_tables;2;db/character_skill_node_sets_tables/ovn_lost_factions_gold							
node_set_elo_dread_larenscheld	wizard		wh2_dlc09_tmb_the_sentinels	wh2_dlc09_sc_tmb_tomb_kings	false	false	elo_dread_larenscheld
node_set_fimir_lord	general			wh_main_sc_nor_fimir	false	false	aky_chief_fimir_great_weapons
wh_dlc08_nor_cha_fimir_balefiend_death	dignitary			wh_main_sc_nor_fimir	false	false	wh_dlc08_nor_cha_fimir_balefiend_death
wh_dlc08_nor_cha_fimir_balefiend_beast	dignitary			wh_main_sc_nor_fimir	false	false	wh_dlc08_nor_cha_fimir_balefiend_beast
ovn_skill_node_set_olorin_the_grey_wizard	general				false	false	ovn_com_olorin_the_grey_wizard
ovn_skill_node_set_aragand_the_layabout	champion				false	false	ovn_com_aragand_the_layabout
ovn_skill_node_set_legles_the_elf	spy				false	false	ovn_com_legles_the_elf
ovn_skill_node_set_giblit_the_dwarf	champion				false	false	ovn_com_giblit_the_dwarf
ovn_skill_node_set_arb_magician_life	wizard				false	false	arb_magician_life
ovn_skill_node_set_arb_magician_desert	wizard				false	false	arb_magician_desert
ovn_skill_node_set_arb_magician_fire	wizard				false	false	arb_magician_fire
ovn_skill_node_set_arb_magician_heavens	wizard				false	false	arb_magician_heavens
wh2_main_skill_node_set_tmb_Dread_King	general				false	false	Dread_King
elo_hand_of_nagash	general				false	false	elo_hand_of_nagash
wh_main_skill_node_set_sultan_jaffar	general				false	false	Sultan_Jaffar
aky_chief_fimir_great_weapons_skills	general				false	false	aky_chief_fimir_great_weapons
aky_chief_wolf_werekin_skills	general				false	false	aky_chief_wolf_werekin
wh2_main_skill_node_set_arb_roy_nomad	spy				false	false	roy_arb_nomad
wh2_main_skill_node_set_arb_roy_champion	champion				false	false	roy_arb_champion
wh_main_skill_node_set_ovn_araby_ll	general				false	false	ovn_araby_ll
wh_main_skill_node_set_chs_belakor	general				false	false	belakor
node_set_dread_centurion	champion			wh2_dlc09_sc_tmb_tomb_kings	false	false	elo_dread_centurion
elo_liche_general	general				false	false	elo_liche_general
elo_troll_lord	general				false	false	elo_cha_troll_lord
elo_chief_ugma	general				false	false	elo_chief_ugma
wh_main_skill_node_set_ovn_hlf_ll	general				false	false	ovn_hlf_ll
morgan_bernhardt	general				false	false	morgan_bernhardt
vladimir_stormbringer	wizard				false	false	vladimir_stormbringer
node_set_warleader	general			wh_main_sc_nor_albion	false	false	albion_warleader
node_set_truth_beasts	general			wh_main_sc_nor_albion	false	false	albion_truthsayer_beast
node_set_truth_light	general			wh_main_sc_nor_albion	false	false	albion_truthsayer_light
node_set_truth_life	general			wh_main_sc_nor_albion	false	false	albion_truthsayer_life
node_set_truth_truth	general			wh_main_sc_nor_albion	false	false	albion_truthsayer_truth
node_set_albion_chief	champion			wh_main_sc_nor_albion	false	false	albion_chief
node_set_albion_wizard	wizard			wh_main_sc_nor_albion	false	false	albion_wyrd_druid
node_set_morrigan	general			wh_main_sc_nor_albion	false	false	albion_morrigan
node_set_dural_durak	general			wh_main_sc_nor_albion	false	false	bl_elo_dural_durak
wh_main_skill_node_fim_meargh_skattach	general				false	false	fim_meargh_skattach
wh_main_skill_node_set_nor_lord	general			wh_main_sc_nor_warp	false	false	
wh_main_skill_node_set_nor_lord	general			wh_main_sc_nor_fimir	false	false	
wh_main_skill_node_set_nor_lord	general			wh_main_sc_nor_troll	false	false	
wh2_main_skill_node_set_ovn_rbt_blightstormer	wizard				false	false	rbt_blightstormer
wh_main_skill_node_set_ribspreader	general				false	false	ribspreader
wh_main_skill_node_set_emp_stormrider	general				false	false	ovn_stormrider
wh_main_skill_node_set_arb_fatandira	general				false	false	arb_fatandira
wh_main_skill_node_set_arb_golden_magus	general				false	false	arb_golden_magus
wh_main_skill_node_set_hlf_glibfoot	general				false	false	ovn_hlf_glibfoot
wh_main_skill_node_set_ovn_hlf_moot_general	general				false	false	ovn_hlf_moot_general
wh_main_skill_node_set_ovn_hlf_fieldwarden	spy				false	false	ovn_hlf_fieldwarden
wh_main_skill_node_set_hlf_master_chef	dignitary				false	false	ovn_hlf_master_chef
wh_main_skill_node_set_hlf_sheriff	champion				false	false	ovn_hlf_sheriff
elo_boglar_shaman	wizard				false	false	elo_boglar_shaman
elo_troll_champ_skillz	champion				false	false	elo_troll_champ
elo_carrion_boss	spy				false	false	elo_carrion_boss
wh_main_skill_node_set_arb_vizier_fire	general				false	false	arb_vizier_fire_0
wh_main_skill_node_set_arb_vizier_life	general				false	false	arb_vizier_life_0
wh_main_skill_node_set_arb_vizier_heavens	general				false	false	arb_vizier_heavens_0
wh_main_skill_node_set_arb_vizier_desert	general				false	false	arb_vizier_desert_0
wh2_dlc11_skill_node_set_vmp_walach	general				false	false	vmp_cha_walach
