technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/ovn_fimir			
elo_fimir_culture_1	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	20.0
elo_fimir_culture_2	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15.0
elo_fimir_culture_2	wh_main_effect_force_all_campaign_sacking_income	faction_to_character_own_unseen	15.0
elo_fimir_culture_3	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	25.0
elo_fimir_culture_4	wh2_dlc10_effect_faction_all_campaign_movement_range	faction_to_force_own_unseen	15.0
elo_fimir_culture_5	wh_main_effect_force_army_campaign_attrition_all_resistance	faction_to_force_own_unseen	-50.0
elo_fimir_culture_5	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	20.0
elo_fimir_slave_eco_1	wh_main_effect_public_order_tech	faction_to_province_own_unseen	3.0
elo_fimir_slave_eco_2	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	25.0
elo_fimir_slave_eco_2	wh2_main_effect_building_construction_time_mod_all	faction_to_region_own_unseen	-35.0
elo_fimir_slave_eco_3	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	10.0
elo_fimir_slave_eco_4	wh2_main_effect_slave_public_order_modifier	faction_to_province_own_unseen	-35.0
elo_fimir_slave_eco_5	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	25.0
elo_fimir_slave_eco_5	wh2_main_effect_slave_decline_modifier	faction_to_province_own_unseen	-25.0
elo_fimir_magic_1	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own_unseen	15.0
elo_fimir_magic_2	elo_fimir_apprentices_mdmg	faction_to_force_own_unseen	20.0
elo_fimir_magic_2	elo_fimir_apprentices_reload	faction_to_force_own_unseen	10.0
elo_fimir_magic_2	elo_fimir_apprentices_range	faction_to_force_own_unseen	15.0
elo_fimir_magic_3	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend	faction_to_faction_own_unseen	2.0
