battle_personalities_tables	9
key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
arb_golden_magus_skiff_gm	hu1_fire_staff_and_sword	autonomous_rider	arb_golden_magus_skiff	wh_main_infantry_standard_hero_blood	ap_crewposition_6		true
arb_golden_magus_skiff_rider1	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_0	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider2	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider3	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider4	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider5	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_rider6	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_5	wh2_dlc09_tmb_chariot_bow	false
arb_golden_magus_skiff_djinn7	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_0	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn8	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_1	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn9	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_leftposition_2	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn10	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_0	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn11	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_1	arb_golden_magus_skiff_djinn_oarmen	false
arb_golden_magus_skiff_djinn12	gh1_cairn_wraith	autonomous_rider	ovn_arb_tempest_djinn_gm_skiff	ovn_arb_mon_tempest_djinn	ap_rightposition_2	arb_golden_magus_skiff_djinn_oarmen	false
