cdir_events_mission_followup_missions_tables	0
mission_key	status_key	followup_mission_key
ovn_grudge_vortex_move_to_swem	SUCCESS	ovn_grudge_vortex_take_kasabar
ovn_grudge_vortex_kill_dk	SUCCESS	ovn_grudge_vortex_kill_arkhan
ovn_blood_dragons_me_take_altdorf	SUCCESS	ovn_blood_dragons_me_take_couronne
ovn_grudge_vortex_kill_dk	CANCELLED	ovn_grudge_vortex_kill_dk
ovn_grudge_vortex_kill_dk	CANCELLED	ovn_grudge_me_kill_arkhan
ovn_grudge_me_move_to_swem	SUCCESS	ovn_grudge_me_take_kasabar
ovn_grudge_me_kill_dk	SUCCESS	ovn_grudge_me_kill_arkhan
ovn_grudge_me_kill_dk	CANCELLED	ovn_grudge_me_kill_dk
ovn_grudge_me_kill_dk	CANCELLED	ovn_grudge_me_kill_arkhan
