campaign_group_member_criteria_subcultures_tables	0
member	subculture
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_defeat	wh_main_sc_lzd_amazon
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_draw	wh_main_sc_lzd_amazon
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_victory	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_treasure_hunt	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_colonise	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_do_nothing	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_loot	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_raze_without_occupy	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_resettle	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_sack	wh_main_sc_lzd_amazon
ovn_amazon_alt_occupation_decision_occupy	wh_main_sc_lzd_amazon
wh_feature_nor_amazon	wh_main_sc_lzd_amazon
