ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
expendable	ovn_shearl
poor_morale	ovn_shearl
disturbed	ovn_killing_eye
damage_dealer	ovn_death_quest
shielded	ovn_death_quest
damage_dealer	ovn_killing_eye
frenzy	ovn_death_quest
disturbed	ovn_death_quest
frenzy	ovn_killing_eye
unbreakable	ovn_killing_eye
armour_piercing	ovn_fimm
frostbite	ovn_gharnus_demon
anti_large	ovn_mistmor
armoured	ovn_fimm
charge_reflector_vs_large	ovn_fimm
anti_large	ovn_fimm
armoured	ovn_fianna_fimm
shielded	ovn_fianna_fimm
armoured	ovn_gharnus_demon
charge_reflector	ovn_gharnus_demon
armoured	ovn_mistmor
armour_piercing	ovn_fianna_fimm
charge_reflector	ovn_fianna_fimm
armour_piercing	ovn_mistmor
terror	ovn_mistmor
expendable	ovn_shearl_no_garrison
poor_morale	ovn_shearl_no_garrison
scaly_skin	ovn_marsh_hounds
very_fast	ovn_marsh_hounds
weak_anti_armour	ovn_marsh_hounds
aquatic	ovn_marsh_hounds
vanguard_deployment	ovn_mon_harpies
very_fast	ovn_mon_harpies
