effect_bonus_value_unit_set_unit_ability_junctions_tables	0
bonus_value_id	effect	unit_set_ability
enable	sheriff_taunt	sheriff_taunt
enable	supply_cart_loose	supply_cart_loose
enable	elo_superfood	elo_superfood
enable	enable_frenzy_albion_warriors	enable_frenzy_albion_warriors
enable	enable_howling_shields	enable_howling_shields
enable	enable_opportunist_albion	enable_opportunist_albion
enable	enable_berserk_sword	enable_berserk_sword
enable	enable_hawkish_hunter	enable_hawkish_hunter
enable	enable_wh_dlc08_unit_passive_from_the_mist	enable_wh_dlc08_unit_passive_from_the_mist
enable	elo_druid_circle_banish	elo_druid_circle_banish
enable	disable_war_fury_2	disable_war_fury_2
enable	enable_zeal_holy_albion	enable_zeal_holy_albion
enable	elo_albion_protectors_world	elo_albion_protectors_world
enable	fimir_untamed_monsters_frenzy	fimir_untamed_monsters_frenzy
enable	elo_fen_lord_heroes	elo_fen_lord_heroes
enable	elo_demons_khoooorne	elo_demons_khoooorne
enable	elo_ghost_vampire_novice	elo_ghost_vampire_novice
enable	elo_ghost_vampire_advanced	elo_ghost_vampire_advanced
enable	elo_ghost_vampire_expert	elo_ghost_vampire_expert
enable	elo_ghost_vampire_master	elo_ghost_vampire_master
enable	elo_ghost_master_of_dead	elo_ghost_master_of_dead
enable	elo_raw_might_frenzy	elo_raw_might_frenzy
enable	ribspreader_enable_bile_troll_passive	ribspreader_enable_bile_troll_passive
enable	vmp_effect_ability_hunger_to_blood_knights_units	vmp_effect_ability_hunger_to_blood_knights_units
