campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/obo_grudgebringers_data						
		1	grudge_skill_missile_ward		x	6
		1	grudge_skill_magic_ward		x	6
		1	grudge_skill_bst_champion_defensive_1		x	7
		1	grudge_skill_bst_champion_offensive_1		x	7
		1	grudge_skill_bernhardt_bonus_vs_men		x	9
		1	grudge_skill_bernhardt_bonus_vs_dwarves		x	9
		1	grudge_skill_bernhardt_bonus_vs_undead		x	9
		1	grudge_skill_bernhardt_bonus_vs_chaos		x	9
		1	grudge_skill_bernhardt_bonus_vs_beastmen		x	9
		1	grudge_skill_bernhardt_bonus_vs_skaven		x	9
		1	grudge_skill_bernhardt_bonus_vs_greenskins		x	9
		1	grudge_skill_bernhardt_bonus_vs_dark_elves		x	9
		1	grudge_skill_bernhardt_bonus_vs_lizardmen		x	9
		1	grudge_skill_bernhardt_bonus_vs_high_elves		x	9
		1	grudge_skill_bernhardt_bonus_vs_wood_elves		x	9
		1	grudge_skill_fire_ward		x	11
		1	grudge_skill_regiment_size		x	14
		2	grudge_skill_regiment_size		x	19
		3	grudge_skill_regiment_size		x	24
		1	grudge_skill_horn_of_urgok		x	9
		1	grudge_skill_hellfire_sword		x	9
		1	grudge_skill_storm_sword		x	9
		1	grudge_skill_runefang		x	9
		1	grudge_skill_enchanted_shield		x	7
		1	grudge_skill_shield_of_ptolos		x	9
		1	grudge_skill_spelleater_shield		x	9
		1	grudge_skill_dragonhelm		x	9
		1	grudge_skill_wand_of_jet		x	9
		1	grudge_skill_banner_of_arcane_warding		x	9
		1	grudge_skill_banner_of_wrath		x	11
		1	grudge_skill_banner_of_defiance		x	13
		1	grudge_skill_shadow_of_the_horned_rat		x	14
		1	grudge_skill_dark_omen		x	16
