special_ability_groups_to_units_junctions_tables	0
ability_group	unit
iz_troll	elo_armoured_icetrolls
iz_troll	elo_southern_trolls
iz_troll	elo_red_avalanche
iz_troll	elo_river_trolls
iz_troll	elo_mountain_trolls
iz_troll	elo_shipwreckers
iz_troll	elo_cha_troll_lord
iz_troll	elo_kin
iz_troll	elo_forest_trolls
iz_troll	elo_bile_trolls
iz_troll	elo_snow_troll
iz_troll	elo_armoured_icetrolls_erengrad
iz_troll	elo_river_trolls_erengrad
iz_troll	elo_mountain_trolls_erengrad
iz_troll	elo_forest_trolls_erengrad
iz_troll	elo_snow_troll_erengrad
iz_troll	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
iz_troll	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
iz_troll	ovn_trl_inf_stone_throw_troll
iz_troll	elo_lava_trolls
iz_troll	wh_dlc01_chs_mon_trolls_1
