campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/elo_troll						
		1	elo_skill_troll_food_rats		x	9
		1	elo_skill_troll_food_dwarfs		x	9
		1	elo_skill_troll_food_humans		x	9
		1	elo_skill_troll_food_elves		x	9
		1	elo_skill_troll_food_green		x	9
		1	elo_skill_troll_food_lizard		x	9
		1	elo_skill_troll_food_undead		x	9
		1	elo_skill_troll_food_chaos		x	9
		1	elo_skill_troll_food_beast		x	9
		1	elo_skill_troll_frostblood		x	4
		1	elo_skill_troll_riverblood		x	4
		1	elo_skill_troll_stoneblood		x	4
		1	elo_skill_throgg_herold		x	11
		1	elo_skill_throgg_march		x	17
		1	elo_skill_throgg_scourge		x	14
		1	reworked_cyclopean_fiends		x	24
		1	reworked_king_of_trolls		x	14
		1	reworked_mutant_regeneration		x	11
		1	elo_leader_river		x	14
		1	elo_eloquent_troll		x	11
		1	resevoir_stone_hammer		x	18
		1	ugma_trinkets		x	14
		1	elo_enable_me_boss_now		x	14
		1	elo_enable_violent_command		x	14
		1	elo_troll_dirty		x	9
		1	elo_troll_angry		x	9
		1	elo_troll_resilient		x	9
		1	elo_troll_fast		x	9
