battle_personalities_tables	9
key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
ovn_arb_inf_off	hu1_dlc14_repanse_2handed_sword	officer	ovn_arb_inf_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_slave_off	hu1_empire_dual_hammer	officer	ovn_arb_slave_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_cav_off	hu1_empire_hr1_warhorse_staff_and_sword	officer	ovn_arb_cav_off	wh_main_cavalry_fast_blood			false
ovn_arb_jez_off	hu1_empire_sword_and_pistol	officer	ovn_arb_jez_off	wh_dlc04_infantry_flagellants_blood_dismembers			false
ovn_arb_inf_sgt	hu1_dlc14_repanse_2handed_sword	officer	ovn_arb_inf_sgt	wh_dlc04_infantry_flagellants_blood_dismembers			false
housie_nec_rider_0	hu1_empire_sword_rifle	autonomous_rider	hous_crow	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_0	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_1	hu1_cst_zombie_gi2_colossus_wb_crew_2	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_1	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_2	hu1_cst_zombie_gi2_colossus_wb_crew_1	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_2	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_3	hu1_cst_zombie_gi2_colossus_wb_crew_5	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_3	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
housie_nec_rider_4	hu1_cst_zombie_gi2_colossus_wb_crew_4	autonomous_rider	hous_nec_rider	wh_dlc04_infantry_flagellants_blood_dismembers	ap_rider_4	wh2_dlc11_cst_mon_necrofex_colossus_rider	false
