member	subculture
#campaign_group_member_criteria_originating_subcultures_tables;0;db/campaign_group_member_criteria_originating_subcultures_tables/ovn_slaves	
pj_captive_option_fimir_enslave_dwarfs	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_greenskins	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_dark_elves	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_skaven	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_chaos	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_wood_elves	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_empire	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_high_elves	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_bretonnia	wh_main_sc_nor_fimir
pj_captive_option_fimir_enslave_rogue	wh_main_sc_nor_fimir
