land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_abilities_arcane_conduit	arb_golden_magus
arb_golden_magus_master_djinn	arb_golden_magus
ovn_unit_passive_genie_deco	ovn_arb_mon_genie_summoned
wh2_dlc09_lord_abilities_sand_storm	ovn_arb_mon_genie_summoned
wh_main_spell_bound_fireball	ovn_arb_mon_genie_summoned
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_genie_summoned
wh_main_character_abilities_arcane_conduit	arb_golden_magus_camel
arb_golden_magus_master_djinn	arb_golden_magus_camel
wh_main_character_abilities_arcane_conduit	arb_golden_magus_skiff
arb_golden_magus_master_djinn	arb_golden_magus_skiff
arb_golden_magus_skiff_mistral	arb_golden_magus_skiff
arb_golden_magus_skiff_scirocco	arb_golden_magus_skiff
ground_arua_for_summoned_djinn	arb_sultan_of_flame
ground_arua_for_summoned_djinn_2	arb_sultan_of_flame
fire_trail_for_summoned_djinn	arb_sultan_of_flame
ovn_unit_passive_unbinding_djinn	arb_sultan_of_flame
wh_main_spell_bound_piercing_bolts_of_burning	arb_sultan_of_flame
arb_sultan_flame_bound_firestorm	arb_sultan_of_flame
arb_sultan_flame_bound_fireburst	arb_sultan_of_flame
arb_golden_magus_wrath_djinn_passive	arb_golden_magus
arb_golden_magus_wrath_djinn_passive	arb_golden_magus_camel
arb_golden_magus_wrath_djinn_passive	arb_golden_magus_skiff
