member	faction
#campaign_group_member_criteria_factions_tables;0;db/campaign_group_member_criteria_factions_tables/cod_climate	
ovn_cod_climate_chaotic	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_desert	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_frozen	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_island	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_jungle	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_magicforest	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_mountain	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_ocean	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_savannah	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_temperate	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_wasteland	wh2_main_hef_citadel_of_dusk
