ancillary_to_included_agents_tables	0
ancillary	agent
elo_carrion_boss_squig	spy
ovn_anc_mount_arb_magician_life_magic_carpet	wizard
ovn_anc_mount_arb_magician_life_djinn_vessel	wizard
ovn_anc_mount_arb_magician_desert_magic_carpet	wizard
ovn_anc_mount_arb_magician_desert_djinn_vessel	wizard
ovn_anc_mount_arb_magician_fire_magic_carpet	wizard
ovn_anc_mount_arb_magician_fire_djinn_vessel	wizard
ovn_anc_mount_arb_magician_heavens_magic_carpet	wizard
ovn_anc_mount_arb_magician_heavens_djinn_vessel	wizard
dread_zombie_dragon	general
Soulreaper	general
mount_chariot_hand_of_nagash	general
elo_hand_punished_one	general
Serpent_Staff	general
Black_Book_Of_Ibn_Naggazar	general
aky_chief_wolf_terrorgheist	general
roy_anc_mount_arb_nomad_horse	spy
roy_anc_mount_arb_champion_horse	champion
roy_anc_mount_arb_champion_warhorse	champion
roy_anc_mount_arb_champion_elephant	champion
roy_anc_mount_arb_lord_horse	general
roy_anc_mount_arb_nomad_assassin	spy
roy_anc_mount_arb_nomad_horse_jezzail	spy
sword	general
Helm	general
Talisman	general
Mount	general
Mount_Elephant	general
rattlesnake_staff	general
the_blade_of_shadows	general
albion_hunting_dog	general
albion_lone_huntress	general
albion_woad_raider	general
albion_tame_raven	general
albion_chief	general
albion_druid_advisor	general
albion_old_warrior	general
albion_scavanger	general
albion_woman	general
fenbeast_follower	general
hearthguard_follower	general
druid_neophyte	general
albion_hardened_warrior	general
albion_scary_banner	general
anc_albion_triskele_banner	general
anc_danu_banner	general
anc_albion_hunter_banner	general
albion_hunting_dog	wizard
albion_lone_huntress	wizard
albion_woad_raider	wizard
albion_tame_raven	wizard
albion_druid_advisor	wizard
albion_chief	wizard
albion_scavanger	wizard
druid_neophyte	wizard
albion_hunting_dog	champion
albion_lone_huntress	champion
albion_woad_raider	champion
albion_tame_raven	champion
albion_druid_advisor	champion
albion_chief	champion
albion_scavanger	champion
hearthguard_follower	champion
anc_adventurer_trinkets	general
anc_resevoir_stone	general
hlf_staff	general
hlf_robe	general
ovn_anc_follower_halfling_housewife	general
grudge_item_horn_of_urgok	general
grudge_item_grudgebringer_sword	general
grudge_item_hellfire_sword	general
grudge_item_storm_sword	general
grudge_item_runefang	general
grudge_item_enchanted_shield	general
grudge_item_shield_of_ptolos	general
grudge_item_spelleater_shield	general
grudge_item_dragonhelm	general
grudge_item_wand_of_jet	general
grudge_item_banner_of_arcane_warding	general
grudge_item_banner_of_wrath	general
grudge_item_banner_of_defiance	general
grudge_item_horn_of_urgok	dignitary
grudge_item_grudgebringer_sword	dignitary
grudge_item_hellfire_sword	dignitary
grudge_item_storm_sword	dignitary
grudge_item_runefang	dignitary
grudge_item_enchanted_shield	dignitary
grudge_item_shield_of_ptolos	dignitary
grudge_item_spelleater_shield	dignitary
grudge_item_dragonhelm	dignitary
grudge_item_wand_of_jet	dignitary
grudge_item_banner_of_arcane_warding	dignitary
grudge_item_banner_of_wrath	dignitary
grudge_item_banner_of_defiance	dignitary
grudge_item_horn_of_urgok	champion
grudge_item_grudgebringer_sword	champion
grudge_item_hellfire_sword	champion
grudge_item_storm_sword	champion
grudge_item_runefang	champion
grudge_item_enchanted_shield	champion
grudge_item_shield_of_ptolos	champion
grudge_item_spelleater_shield	champion
grudge_item_dragonhelm	champion
grudge_item_wand_of_jet	champion
grudge_item_banner_of_arcane_warding	champion
grudge_item_banner_of_wrath	champion
grudge_item_banner_of_defiance	champion
grudge_item_horn_of_urgok	spy
grudge_item_grudgebringer_sword	spy
grudge_item_hellfire_sword	spy
grudge_item_storm_sword	spy
grudge_item_runefang	spy
grudge_item_enchanted_shield	spy
grudge_item_shield_of_ptolos	spy
grudge_item_spelleater_shield	spy
grudge_item_dragonhelm	spy
grudge_item_wand_of_jet	spy
grudge_item_banner_of_arcane_warding	spy
grudge_item_banner_of_wrath	spy
grudge_item_banner_of_defiance	spy
grudge_item_horn_of_urgok	wizard
grudge_item_grudgebringer_sword	wizard
grudge_item_hellfire_sword	wizard
grudge_item_storm_sword	wizard
grudge_item_runefang	wizard
grudge_item_enchanted_shield	wizard
grudge_item_shield_of_ptolos	wizard
grudge_item_spelleater_shield	wizard
grudge_item_dragonhelm	wizard
grudge_item_wand_of_jet	wizard
grudge_item_banner_of_arcane_warding	wizard
grudge_item_banner_of_wrath	wizard
grudge_item_banner_of_defiance	wizard
ovn_as_starblade	general
ovn_as_armour	general
ovn_as_Hoeth_Talisman	general
anc_sharpclaw	general
arb_fatandira_warhorse	general
arb_fatandira_roc	general
arb_golden_magus_camel_mount	general
arb_golden_magus_djinnskiff_mount	general
wh_main_anc_mount_arb_vizier_fire_camel	general
wh_main_anc_mount_arb_vizier_fire_carpet	general
wh_main_anc_mount_arb_vizier_life_camel	general
wh_main_anc_mount_arb_vizier_life_carpet	general
wh_main_anc_mount_arb_vizier_heavens_camel	general
wh_main_anc_mount_arb_vizier_heavens_carpet	general
wh_main_anc_mount_arb_vizier_desert_camel	general
wh_main_anc_mount_arb_vizier_desert_carpet	general
anc_boglar_shaman_hound	wizard
ovn_anc_weapon_glammyding	general
ovn_anc_talisman_bottomless_hat_of_rabbit	general
ovn_anc_arcane_item_cathay_fireworks	general
ovn_anc_weapon_aragands_sword	champion
ovn_anc_enchanted_item_pig_swill	champion
ovn_anc_talisman_friendship_bracelet_legles	spy
ovn_anc_enchanted_item_ring_of_concealment	spy
ovn_anc_talisman_friendship_bracelet_giblit	champion
ovn_anc_enchanted_item_bimbos_book	champion
