from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_hlf_buildings	
ovn_half_barracks_1	ovn_half_barracks_2
ovn_half_barracks_2	ovn_half_barracks_3
ovn_half_tavern_1	ovn_half_tavern_2
ovn_half_tavern_2	ovn_half_tavern_3
ovn_Animal_Rearing_1	ovn_Animal_Rearing_2
ovn_half_industry_1	ovn_half_industry_2
ovn_half_industry_2	ovn_half_industry_3
ovn_hlf_welf_1	ovn_hlf_welf_2
ovn_hlf_welf_2	ovn_hlf_welf_3
ovn_half_smiths_1	ovn_half_smiths_2
ovn_hlf_resource_salt_1	ovn_hlf_resource_salt_2
ovn_hlf_resource_salt_2	ovn_hlf_resource_salt_3
