id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/pj_slaves_post_battle		
pj_captive_option_flaming_scimitar_enslave_bretonnia	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_rogue	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_dark_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_empire	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_high_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_wood_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_flaming_scimitar_enslave_chaos	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_bretonnia	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_rogue	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_dark_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_empire	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_high_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_wood_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_scythans_enslave_chaos	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_bretonnia	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_rogue	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_dark_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_empire	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_high_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_wood_elves	pj_captive_option_araby_enslave	2.0
pj_captive_option_caliphate_enslave_chaos	pj_captive_option_araby_enslave	2.0
pj_captive_option_fimir_enslave_dwarfs	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_greenskins	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_dark_elves	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_skaven	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_chaos	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_wood_elves	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_empire	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_high_elves	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_bretonnia	pj_captive_option_fimir_enslave	2.0
pj_captive_option_fimir_enslave_rogue	pj_captive_option_fimir_enslave	2.0
