id	names_group	type	gender	frequency
#names_tables;1;db/names_tables/ovn_new_factions				
882019	117	forename	m	0
882018	117	family_name	m	0
882017	88	forename	m	0
882016	88	family_name	m	0
882015	445	forename	m	0
882014	445	family_name	m	0
882013	143	forename	m	0
882012	143	family_name	m	0
882011	111	forename	m	0
882010	111	family_name	m	0
882009	180	forename	m	0
882008	180	family_name	m	0
882007	198	forename	m	0
882006	198	family_name	m	0
882005	89	forename	m	0
882004	89	family_name	m	0
882003	180	forename	m	0
882002	180	family_name	m	0
882001	180	forename	m	0
882000	180	family_name	m	0
