ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured	elo_armoured_icetrolls_erengrad
armour_piercing	elo_armoured_icetrolls_erengrad
frostbite	elo_armoured_icetrolls_erengrad
poor_morale	elo_armoured_icetrolls_erengrad
regeneration	elo_armoured_icetrolls_erengrad
regeneration	elo_river_trolls_erengrad
aquatic	elo_river_trolls_erengrad
horrible_stench	elo_river_trolls_erengrad
poison	elo_river_trolls_erengrad
regeneration	elo_mountain_trolls_erengrad
armour_piercing	elo_mountain_trolls_erengrad
poor_morale	elo_mountain_trolls_erengrad
rock_solid	elo_mountain_trolls_erengrad
regeneration	elo_forest_trolls_erengrad
large_bst	elo_forest_trolls_erengrad
difficult_to_spot	elo_forest_trolls_erengrad
anti_infantry	elo_forest_trolls_erengrad
vanguard_deployment	elo_forest_trolls_erengrad
anti_large	elo_snow_troll_erengrad
regeneration	elo_snow_troll_erengrad
armour_piercing	elo_snow_troll_erengrad
big_angry	elo_snow_troll_erengrad
armour_piercing	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
poor_morale	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
regeneration	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
scaly_skin	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
aquatic	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
poor_morale	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
regeneration	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
river_troll	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
