units_to_groupings_military_permissions_tables	0
unit	military_group
wh_main_chs_inf_chaos_warriors_0	ovn_chaos
wh_dlc01_chs_inf_chaos_warriors_2	ovn_chaos
wh_dlc01_chs_inf_chosen_2	ovn_chaos
wh_main_chs_inf_chosen_0	ovn_chaos
wh_dlc01_chs_inf_forsaken_0	ovn_chaos
wh_dlc01_chs_mon_dragon_ogre_shaggoth	ovn_chaos
wh_main_chs_mon_chaos_spawn	ovn_chaos
wh_main_chs_mon_chaos_warhounds_1	ovn_chaos
wh_main_chs_art_hellcannon	ovn_chaos
wh_main_chs_cav_chaos_chariot	ovn_chaos
wh_main_chs_cav_chaos_knights_0	ovn_chaos
wh_main_chs_cav_chaos_knights_1	ovn_chaos
wh_main_chs_inf_chaos_warriors_1	ovn_chaos
wh_main_chs_mon_giant	ovn_chaos
wh_dlc06_chs_cav_marauder_horsemasters_0	ovn_chaos
wh_dlc06_chs_feral_manticore	ovn_chaos
elo_bile_trolls	ovn_chaos
wh_dlc01_chs_mon_dragon_ogre	ovn_chaos
wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	ovn_chaos
wh_dlc01_chs_cha_chaos_sorcerer_shadows_1	ovn_chaos
wh_dlc01_chs_cha_chaos_sorcerer_shadows_2	ovn_chaos
wh_dlc01_chs_cha_exalted_hero_10	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_death_0	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_death_10	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_death_11	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_fire_0	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_fire_10	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_fire_11	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_metal_0	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_metal_10	ovn_chaos
wh_main_chs_cha_chaos_sorcerer_metal_11	ovn_chaos
wh_main_chs_cha_exalted_hero_0	ovn_chaos
wh_main_chs_cha_exalted_hero_12	ovn_chaos
wh_main_chs_cha_exalted_hero_13	ovn_chaos
wh_dlc08_nor_mon_frost_wyrm_0	ovn_chaos
wh_dlc08_nor_mon_norscan_ice_trolls_0	ovn_chaos
wh_main_nor_mon_chaos_warhounds_0	ovn_chaos
wh_dlc08_nor_feral_manticore	ovn_chaos
wh_dlc08_nor_inf_marauder_hunters_0	ovn_chaos
wh_dlc08_nor_inf_marauder_hunters_1	ovn_chaos
wh_main_chs_inf_chaos_marauders_0	ovn_chaos
wh_dlc08_nor_mon_norscan_giant_0	ovn_chaos
wh_main_nor_cav_marauder_horsemen_1	ovn_chaos
wh_main_nor_cav_marauder_horsemen_0	ovn_chaos
wh_dlc08_nor_cav_marauder_horsemasters_0	ovn_chaos
wh_main_nor_mon_chaos_trolls	ovn_chaos
wh_main_chs_inf_chosen_1	ovn_chaos
wh_dlc06_chs_inf_aspiring_champions_0	ovn_chaos
wh_pro04_chs_art_hellcannon_ror_0	ovn_chaos
wh_pro04_chs_cav_chaos_knights_ror_0	ovn_chaos
wh_pro04_chs_inf_chaos_warriors_ror_0	ovn_chaos
wh_pro04_chs_inf_forsaken_ror_0	ovn_chaos
wh_pro04_chs_mon_chaos_spawn_ror_0	ovn_chaos
wh_pro04_chs_mon_dragon_ogre_ror_0	ovn_chaos
