provincial_initiative_strength_levels_tables	0
effect_bundle	initiative_record	strength
province_edict_albion1	province_edict_albion1	1
province_edict_albion1b	province_edict_albion1	2
province_edict_albion1c	province_edict_albion1	3
province_edict_albion1d	province_edict_albion1	4
province_edict_albion1e	province_edict_albion1	5
province_edict_albion2	province_edict_albion2	1
province_edict_albion2b	province_edict_albion2	2
province_edict_albion2c	province_edict_albion2	3
province_edict_albion2d	province_edict_albion2	4
province_edict_albion2e	province_edict_albion2	5
province_edict_albion3	province_edict_albion3	1
province_edict_albion3b	province_edict_albion3	2
province_edict_albion3c	province_edict_albion3	3
province_edict_albion3d	province_edict_albion3	4
province_edict_albion3e	province_edict_albion3	5
province_edict_albion4	province_edict_albion4	1
province_edict_albion4b	province_edict_albion4	2
province_edict_albion4c	province_edict_albion4	3
province_edict_albion4d	province_edict_albion4	4
province_edict_albion4e	province_edict_albion4	5
province_edict_albion5	province_edict_albion5	1
province_edict_albion5b	province_edict_albion5	2
province_edict_albion5c	province_edict_albion5	3
province_edict_albion5d	province_edict_albion5	4
province_edict_albion5e	province_edict_albion5	5
