faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh2_main_wef_treeblood	chs_exalted_hero
colonel	wh2_main_wef_treeblood	aky_chief_fimir_great_weapons
dignitary	wh2_main_wef_treeblood	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh2_main_wef_treeblood	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh2_main_wef_treeblood	default
general	wh2_main_wef_treeblood	aky_chief_fimir_great_weapons
minister	wh2_main_wef_treeblood	default
spy	wh2_main_wef_treeblood	default
runesmith	wh2_main_wef_treeblood	wh2_dlc15_grn_river_troll_hag
wizard	wh2_main_wef_treeblood	grn_night_goblin_shaman
general	wh2_main_wef_treeblood	chs_lord
general	wh2_main_wef_treeblood	chs_sorcerer_lord_death
general	wh2_main_wef_treeblood	chs_sorcerer_lord_fire
general	wh2_main_wef_treeblood	chs_sorcerer_lord_metal
general	wh2_main_wef_treeblood	dlc07_chs_sorcerer_lord_shadow
