building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
ovn_Clan_Fester_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1.0	1.0	0.0
ovn_Clan_Fester_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	2.0	2.0	0.0
ovn_Clan_Fester_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	3.0	3.0	0.0
ovn_Clan_Fester_1	wh2_main_effect_diplomacy_bonus_skaven	faction_to_faction_own_unseen	2.0	2.0	0.0
ovn_Clan_Fester_2	wh2_main_effect_diplomacy_bonus_skaven	faction_to_faction_own_unseen	4.0	4.0	0.0
ovn_Clan_Fester_3	wh2_main_effect_diplomacy_bonus_skaven	faction_to_faction_own_unseen	6.0	6.0	0.0
ovn_warp_military_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	5.0	5.0	0.0
ovn_warp_military_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	10.0	10.0	0.0
ovn_warp_military_4	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	15.0	15.0	0.0
ovn_warp_stables_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	5.0	5.0	0.0
ovn_warp_stables_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	10.0	10.0	0.0
ovn_warp_military_1	wh_main_effect_religion_conversion_chaos	region_to_region_own	1.0	0.0	0.0
ovn_warp_military_2	wh_main_effect_religion_conversion_chaos	region_to_region_own	2.0	0.0	0.0
ovn_warp_military_3	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	1.0	0.0
ovn_warp_military_4	wh_main_effect_religion_conversion_chaos	region_to_region_own	4.0	2.0	0.0
hertz_rotblood_nurgle_corruption	wh_main_effect_religion_conversion_chaos	foreign_building_to_region_own	6.0	3.0	0.0
hertz_rotblood_nurgle_income	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	750.0	325.0	0.0
ovn_warp_military_3	ovn_effect_agent_enable_recruitment_rbt_blightstormer	province_to_province_own_unseen	1.0	1.0	1.0
ovn_warp_military_3	ovn_effect_agent_cap_increase_rbt_blightstormer	faction_to_faction_own_unseen	1.0	1.0	1.0
ovn_warp_military_3	ovn_effect_agent_recruitment_xp_rbt_blightstormer	province_to_province_own_unseen	1.0	1.0	0.0
ovn_warp_military_4	ovn_effect_agent_enable_recruitment_rbt_blightstormer	province_to_province_own_unseen	1.0	1.0	1.0
ovn_warp_military_4	ovn_effect_agent_cap_increase_rbt_blightstormer	faction_to_faction_own_unseen	2.0	1.0	1.0
ovn_warp_military_4	ovn_effect_agent_recruitment_xp_rbt_blightstormer	province_to_province_own_unseen	2.0	2.0	0.0
ovn_rot_military_2	wh_main_effect_religion_conversion_chaos	region_to_region_own	1.0	0.0	0.0
ovn_rot_military_3	wh_main_effect_religion_conversion_chaos	region_to_region_own	2.0	1.0	0.0
ovn_rot_military_4	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	2.0	0.0
ovn_chs_agent	ovn_effect_agent_enable_recruitment_rbt_blightstormer	province_to_province_own	1.0	1.0	1.0
ovn_chs_agent	ovn_effect_agent_cap_increase_rbt_blightstormer	faction_to_faction_own_unseen	1.0	1.0	1.0
ovn_chs_agent	ovn_effect_agent_recruitment_xp_rbt_blightstormer	province_to_province_own_unseen	1.0	1.0	0.0
ovn_rot_military_5	wh_main_effect_religion_conversion_chaos	region_to_region_own	4.0	2.0	0.0
ovn_rot_skittergate	ovn_rot_skittergate_enable_dummy	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_warp_skaven_mercs	ovn_warp_skaven_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_warp_skaven_mercs_2	ovn_warp_skaven_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_warp_skaven_mercs_3	ovn_warp_skaven_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_warp_skaven_mercs_4	ovn_warp_skaven_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_warp_skaven_mercs_5	ovn_warp_skaven_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_Clan_Fester_1	ovn_warp_skaven_free_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_Clan_Fester_2	ovn_warp_skaven_free_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
ovn_Clan_Fester_3	ovn_warp_skaven_free_mercs_desc_dummy	faction_to_faction_own_unseen	1.0	0.0	0.0
