child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/ovn_rotbloods						
rot_tech_nor_marauders_03	rot_tech_nor_marauders_01	0	2	4	0.0	0.0
rot_tech_nor_marauders_05	rot_tech_nor_marauders_02	0	2	4	0.0	0.0
rot_tech_nor_marauders_02	rot_tech_nor_marauders_03	0	1	3	0.0	0.0
rot_tech_nor_marauders_04	rot_tech_nor_marauders_03	0	3	1	0.0	0.0
rot_tech_nor_marauders_06	rot_tech_nor_marauders_03	0	2	4	0.0	0.0
rot_tech_nor_marauders_07	rot_tech_nor_marauders_04	0	2	4	0.0	0.0
rot_tech_nor_marauders_05	rot_tech_nor_marauders_06	0	1	3	0.0	0.0
rot_tech_nor_nw_02	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_04	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_06	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_08	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_10	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_20	rot_tech_nor_nw_01	0	2	4	0.0	0.0
rot_tech_nor_nw_03	rot_tech_nor_nw_02	0	2	4	0.0	0.0
rot_tech_nor_nw_05	rot_tech_nor_nw_04	0	2	4	0.0	0.0
rot_tech_nor_nw_07	rot_tech_nor_nw_06	0	2	4	0.0	0.0
rot_tech_nor_nw_09	rot_tech_nor_nw_08	0	2	4	0.0	0.0
rot_tech_nor_nw_11	rot_tech_nor_nw_10	0	2	4	0.0	0.0
rot_tech_nor_nw_21	rot_tech_nor_nw_20	0	2	4	0.0	0.0
rot_tech_nor_other_03	rot_tech_nor_other_01	0	2	4	0.0	0.0
rot_tech_nor_other_02	rot_tech_nor_other_03	0	1	3	0.0	0.0
rot_tech_nor_other_04	rot_tech_nor_other_03	0	3	1	0.0	0.0
rot_tech_nor_other_05	rot_tech_nor_other_03	0	2	4	0.0	0.0
rot_tech_nor_nw_01	rot_tech_nor_other_05	0	2	4	0.0	0.0
rot_tech_nor_other_06	rot_tech_nor_other_05	0	1	4	0.0	0.0
rot_tech_nor_other_13	rot_tech_nor_other_05	0	3	4	0.0	0.0
rot_tech_nor_other_07	rot_tech_nor_other_06	0	1	4	0.0	0.0
rot_tech_nor_other_09	rot_tech_nor_other_06	0	2	4	0.0	0.0
rot_tech_nor_other_11	rot_tech_nor_other_06	0	3	4	0.0	0.0
rot_tech_nor_other_08	rot_tech_nor_other_07	0	2	4	0.0	0.0
rot_tech_nor_other_10	rot_tech_nor_other_09	0	2	4	0.0	0.0
rot_tech_nor_other_12	rot_tech_nor_other_11	0	2	4	0.0	0.0
rot_tech_nor_other_14	rot_tech_nor_other_13	0	1	4	0.0	0.0
rot_tech_nor_other_16	rot_tech_nor_other_13	0	2	4	0.0	0.0
rot_tech_nor_other_18	rot_tech_nor_other_13	0	3	4	0.0	0.0
rot_tech_nor_other_15	rot_tech_nor_other_14	0	2	4	0.0	0.0
rot_tech_nor_other_17	rot_tech_nor_other_16	0	2	4	0.0	0.0
rot_tech_nor_other_19	rot_tech_nor_other_18	0	2	4	0.0	0.0
rot_tech_new_2	rot_tech_new_1	0	2	4	0.0	0.0
rot_tech_new_3	rot_tech_new_2	0	2	4	0.0	0.0
rot_tech_new_6	rot_tech_new_5	0	2	4	0.0	0.0
rot_tech_new_7	rot_tech_new_6	0	2	4	0.0	0.0
rot_tech_mon_2	rot_tech_mon_1	0	2	4	0.0	0.0
rot_tech_mon_3	rot_tech_mon_2	0	2	4	0.0	0.0
rot_tech_skv_2	rot_tech_skv_1	0	2	4	0.0	0.0
rot_tech_skv_5	rot_tech_skv_2	0	2	4	0.0	0.0
