special_ability_groups_to_unit_abilities_junctions_tables	1
special_ability_groups	unit_special_abilities
elo_lore_truthsayer	spell_truth_gift_life
elo_lore_truthsayer	spell_truth_valor
elo_lore_truthsayer	spell_truth_protection
elo_lore_truthsayer	spell_truth_voice_command
elo_lore_truthsayer	spell_truth_boon_courage
elo_lore_truthsayer	wh2_main_lore_passive_truthsayer
elo_lore_truthsayer	spell_truth_wings_fate
elo_lore_morrigan	wh_dlc03_spell_beasts_flock_of_doom
elo_lore_morrigan	wh_dlc03_spell_beasts_transformation_of_kadon
elo_lore_morrigan	wh_dlc03_lore_passive_wild_heart
elo_lore_morrigan	wh_dlc05_spell_shadow_pit_of_shades
elo_lore_morrigan	wh_dlc05_spell_shadow_the_enfeebling_foe
elo_lore_morrigan	wh_main_spell_death_spirit_leech
elo_lore_morrigan	wh_main_spell_death_doom_and_darkness
elo_lore_wyrd	wh_dlc05_lore_passive_life_bloom
elo_lore_wyrd	wh_dlc05_spell_life_earth_blood
elo_lore_wyrd	wh_dlc03_spell_beasts_panns_impenetrable_pelt
elo_lore_wyrd	wh_dlc03_spell_beasts_wyssans_wildform
elo_lore_wyrd	wh_main_spell_light_light_of_battle
elo_lore_wyrd	spell_truth_wings_fate
elo_lore_wyrd	wh_main_spell_light_phas_protection
