ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
anti_large	ovn_mtl_cav_poultry_riders_0
shielded	ovn_mtl_cav_poultry_riders_0
cant_fight	hlf_roast_pig
anti_infantry	half_pig
armour_piercing	halfling_milittia_great
armour_piercing	halfling_warden_great
armour_piercing	hlf_baby_dragon
support_unit	hlf_roast_pig
terror	hlf_baby_dragon
expendable	halfling_milittia_great
expendable	halfling_milittia_arch
bad_air_duelist	hlf_baby_dragon
baby_dragon_breath	hlf_baby_dragon
poor_morale	halfling_milittia_great
poor_morale	halfling_milittia_arch
