campaign_effect_list_effect_junctions_tables	0
effect	effect list	scope	value
wh_dlc07_effect_attrition_immunity_badlands	ovn_food_cereals_1	faction_to_force_own	1.0
wh_dlc08_effect_attrition_immunity_high_seas	ovn_food_cereals_2	faction_to_force_own	1.0
wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	ovn_food_cereals_3	faction_to_force_own	1.0
wh2_main_effect_force_army_campaign_attrition_immunity_athel_loren	ovn_food_cereals_4	faction_to_force_own	1.0
wh2_dlc11_effect_attrition_immunity_chaos	ovn_food_cereals_5	faction_to_force_own	1.0
wh_dlc05_effect_force_army_campaign_attrition_swamp_immunity	ovn_food_cereals_6	faction_to_force_own	1.0
wh_dlc07_effect_attrition_immunity_snow	ovn_food_cereals_7	faction_to_force_own	1.0
wh_main_effect_character_stat_mod_ward_save_physical	ovn_food_meats_1	faction_to_force_own	15.0
wh_main_effect_character_stat_mod_ward_save_missile	ovn_food_meats_2	faction_to_force_own	15.0
wh_main_effect_character_stat_mod_unit_health	ovn_food_meats_3	faction_to_force_own	5.0
wh_main_effect_force_unit_stat_melee_defence	ovn_food_meats_4	faction_to_force_own	5.0
wh_main_effect_force_unit_stat_melee_damage	ovn_food_meats_5	faction_to_force_own	10.0
wh_main_effect_force_unit_stat_missile_damage	ovn_food_meats_6	faction_to_force_own	5.0
wh_main_effect_force_unit_stat_melee_attack	ovn_food_meats_7	faction_to_province_own	5.0
wh2_dlc10_effect_building_income	ovn_food_spices_1	faction_to_region_own	10.0
wh_main_effect_force_all_campaign_replenishment_rate	ovn_food_spices_2	faction_to_force_own	10.0
wh2_dlc09_effect_diplomacy_bonus_tomb_kings_technology	ovn_food_spices_3	faction_to_faction_own_unseen	25.0
wh_main_effect_character_stat_mod_ward_save_magic	ovn_food_spices_4	faction_to_force_own	25.0
wh_dlc10_effect_public_order	ovn_food_spices_5	faction_to_province_own	2.0
wh2_dlc10_effect_global_recruitment_duration_all	ovn_food_spices_6	faction_to_faction_own_unseen	-1.0
wh_main_effect_character_stat_mod_ward_save_fire	ovn_food_spices_7	faction_to_force_own	25.0
wh2_dlc10_effect_faction_line_of_sight_mod	ovn_food_vegetables_1	faction_to_character_own_unseen_lords_only	15.0
wh_main_effect_technology_research_points	ovn_food_vegetables_2	faction_to_faction_own	10.0
wh_main_effect_force_all_campaign_recruitment_cost_all	ovn_food_vegetables_3	faction_to_force_own	-15.0
wh2_dlc12_effect_magic_cooldown_all_lores	ovn_food_vegetables_4	faction_to_character_own	-10.0
wh_dlc08_effect_bonus_melee_attack_fighting_against_vampires	ovn_food_vegetables_5	faction_to_force_own	10.0
wh_main_effect_force_unit_stat_fatigue_resistance_large	ovn_food_vegetables_6	faction_to_force_own	-15.0
wh2_main_faction_political_diplomacy_mod_highelves	ovn_food_vegetables_7	faction_to_faction_own_unseen	25.0
wh2_main_faction_political_diplomacy_mod_darkelves	ovn_food_vegetables_7	faction_to_faction_own_unseen	25.0
wh_dlc05_tech_diplomacy_bonus_bretonnia	ovn_food_fruits_1	faction_to_faction_own_unseen	25.0
wh_main_effect_force_all_campaign_movement_range	ovn_food_fruits_2	faction_to_force_own	10.0
wh_main_effect_force_unit_stat_missile_range	ovn_food_fruits_3	faction_to_force_own	15.0
wh_main_effect_military_force_winds_of_magic_starting_mod	ovn_food_fruits_4	faction_to_force_own	10.0
wh_main_effect_force_unit_stat_armour	ovn_food_fruits_5	faction_to_force_own	5.0
wh2_main_faction_political_diplomacy_mod_lizardmen	ovn_food_fruits_6	faction_to_faction_own_unseen	25.0
wh_main_effects_province_growth_faction	ovn_food_fruits_7	faction_to_province_own	10.0
wh_main_effect_unit_enable_attribute_fear	ovn_food_dish_1	faction_to_force_own	1.0
wh_main_effect_force_army_campaign_ambush_attack_success_chance	ovn_food_dish_2	faction_to_force_own	20.0
wh_main_effect_religion_conversion_untainted_all_regions	ovn_food_dish_3	faction_to_province_own	2.0
wh_main_effect_unit_enable_attribute_strider	ovn_food_dish_4	faction_to_force_own	1.0
wh_main_effect_force_army_battle_artillery_damage	ovn_food_dish_5	faction_to_force_own	15.0
wh_main_effect_force_army_battle_artillery_ranged_ammunition	ovn_food_dish_5	faction_to_force_own	15.0
wh_main_effect_agent_action_cost_mod	ovn_food_dish_6	faction_to_character_own_unseen	-25.0
wh_main_effect_force_unit_stat_morale	ovn_food_dish_7	faction_to_force_own	5.0
wh_main_effect_agent_action_success_chance	ovn_food_dish_8	faction_to_character_own_unseen	15.0
wh_dlc08_effect_force_all_campaign_upkeep	ovn_food_dish_9	faction_to_province_own	-5.0
wh2_dlc10_effect_unit_enable_attribute_rampage	ovn_food_dish_10	faction_to_force_own	1.0
wh_main_effect_force_army_battle_movement_speed	ovn_food_special_dish_1	faction_to_force_own	10.0
wh2_dlc09_edict_tmb_force_all_campaign_experience_base_all	ovn_food_special_dish_2	faction_to_force_own	4.0
wh_main_effect_character_stat_enable_magic_attacks	ovn_food_special_dish_3	faction_to_force_own	1.0
wh_main_effect_unit_enable_attribute_stalk	ovn_food_special_dish_4	faction_to_force_own	1.0
wh_main_effect_character_stat_mod_charge_add	ovn_food_special_dish_5	faction_to_force_own	15.0
