frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh2_dlc09_faction_diplomacy_bonus_tombkings	ovn_caliphate_of_araby	-25	faction_to_faction_own_unseen
wh_main_effect_economy_trade_tariff_mod	ovn_caliphate_of_araby	25	faction_to_faction_own_unseen
ovn_desert_att_immune_dummy	ovn_caliphate_of_araby	1	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	ovn_caliphate_of_araby	10	faction_to_force_own
wh_main_effect_military_force_winds_of_magic_starting_mod	ovn_caliphate_of_araby_lord	5	character_to_force_own_unseen
wh_main_effect_ability_enable_arcane_conduit	ovn_caliphate_of_araby_lord	1	character_to_character_own
wh_main_effect_character_stat_mod_miscast_chance	ovn_caliphate_of_araby_lord	10	character_to_character_own
wh2_dlc09_faction_diplomacy_bonus_tombkings	ovn_aswad_scythans	10	faction_to_faction_own_unseen
ovn_scythan_numas_diplo	ovn_aswad_scythans	20	faction_to_faction_own_unseen
ovn_scythans_recruit_tmbking_dummy	ovn_aswad_scythans	1	faction_to_faction_own_unseen
ovn_desert_att_immune_dummy	ovn_aswad_scythans	1	faction_to_faction_own_unseen
wh_dlc08_effect_attrition_immunity_high_seas	ovn_flaming_scimitar	1	faction_to_force_own
wh_main_effect_force_all_campaign_raid_income	ovn_flaming_scimitar	50	faction_to_faction_own_unseen
ovn_grudge_horde_dummy	ovn_emp_grudgebringers	1	faction_to_faction_own_unseen
ovn_grudge_replenish_dummy	ovn_emp_grudgebringers	1	faction_to_faction_own_unseen
ovn_grudge_mercenary_dummy	ovn_emp_grudgebringers	1	faction_to_faction_own_unseen
ovn_grudge_good_dummy	ovn_emp_grudgebringers	1	faction_to_faction_own_unseen
ovn_grudge_diplo_bonus	ovn_emp_grudgebringers	25	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_replenishment_rate	ovn_emp_grudgebringers	-20	faction_to_faction_own_unseen
wh_main_effect_force_army_campaign_attrition_all_resistance	ovn_emp_grudgebringers	-10	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_upkeep	ovn_emp_grudgebringers	35	faction_to_faction_own_unseen
wh_main_effect_force_unit_stat_melee_attack	ovn_emp_grudgebringers_lord	6	general_to_force_own
wh_main_effect_force_unit_stat_melee_defence	ovn_emp_grudgebringers_lord	6	general_to_force_own
wh_main_effect_agent_movement_range_mod	ovn_emp_grudgebringers_lord	15	character_to_character_own
ovn_barbarian_hatred	ovn_amz_amazons	-1	faction_to_faction_own_unseen
ovn_trollz_bad	ovn_nor_trollz	1	faction_to_faction_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	ovn_nor_trollz	-40	faction_to_faction_own_unseen
wh_main_effect_province_growth_other	ovn_nor_trollz	10	faction_to_province_own
wh_main_effect_public_order_base	ovn_nor_trollz	5	faction_to_province_own
wh_main_effect_religion_conversion_chaos	ovn_nor_trollz	2	faction_to_region_own
ovn_no_add_army_upkeep_dummy	ovn_nor_trollz	1	faction_to_faction_own_unseen
rivertroll_blood_dummy	ovn_nor_trollz_lord	1	character_to_character_own
wh_main_effect_force_all_campaign_post_battle_loot_mod	ovn_nor_trollz_lord	15	character_to_character_own
ugma_river_attack	ovn_nor_trollz_lord	6	general_to_force_own
ovn_halfling_friendly	ovn_emp_the_moot	10	faction_to_faction_own_unseen
wh_dlc07_effect_economy_gdp_mod_industry	ovn_emp_the_moot	25	faction_to_faction_own_unseen
wh_main_effect_economy_trade_tariff_mod	ovn_emp_the_moot	20	faction_to_faction_own_unseen
wh2_main_diplomatic_relations_averland_bad	ovn_emp_the_moot	-25	faction_to_faction_own_unseen
ovn_halfling_chaos_resist	ovn_emp_the_moot	1	faction_to_faction_own_unseen
ovn_grudge_horde_dummy	ovn_emp_grudgebringers_vor	1	faction_to_faction_own_unseen
ovn_grudge_replenish_dummy	ovn_emp_grudgebringers_vor	1	faction_to_faction_own_unseen
ovn_grudge_mercenary_dummy	ovn_emp_grudgebringers_vor	1	faction_to_faction_own_unseen
ovn_grudge_good_dummy	ovn_emp_grudgebringers_vor	1	faction_to_faction_own_unseen
ovn_grudge_diplo_bonus	ovn_emp_grudgebringers_vor	25	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_replenishment_rate	ovn_emp_grudgebringers_vor	-20	faction_to_faction_own_unseen
wh_main_effect_force_army_campaign_attrition_all_resistance	ovn_emp_grudgebringers_vor	-10	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_upkeep	ovn_emp_grudgebringers_vor	35	faction_to_faction_own_unseen
wh_main_effect_force_unit_stat_melee_attack	ovn_emp_grudgebringers_vor_lord	6	general_to_force_own
wh_main_effect_force_unit_stat_melee_defence	ovn_emp_grudgebringers_vor_lord	6	general_to_force_own
wh_main_effect_agent_movement_range_mod	ovn_emp_grudgebringers_vor_lord	15	character_to_character_own
wh2_dlc09_effect_book_vampire_units	vor_tmb_the_sentinels	1	faction_to_force_own_unseen
wh2_dlc09_effect_religion_undeath_public_order_dummy	vor_tmb_the_sentinels	1	faction_to_faction_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	vor_tmb_the_sentinels	-50	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	vor_tmb_the_sentinels	10	faction_to_force_own
wh_main_faction_diplomacy_penalty_vampire_counts	vor_tmb_the_sentinels	20	faction_to_faction_own_unseen
wh2_dlc09_effect_book_vampire_units	tmb_the_sentinels	1	faction_to_force_own_unseen
wh2_dlc09_effect_religion_undeath_public_order_dummy	tmb_the_sentinels	1	faction_to_faction_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	tmb_the_sentinels	-50	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	tmb_the_sentinels	10	faction_to_force_own
wh_main_faction_diplomacy_penalty_vampire_counts	tmb_the_sentinels	20	faction_to_faction_own_unseen
wh2_dlc10_effect_faction_all_campaign_movement_range	ovn_hef_citadel_of_dusk_faction	10	faction_to_force_own
ovn_cod_ll_visit_dummy	ovn_hef_citadel_of_dusk_faction	1	faction_to_faction_own_unseen
wh2_dlc14_skv_snikch_lightning_strike	ovn_hef_citadel_of_dusk_leader	1	character_to_force_own
ovn_cod_defender_mech_dummy_good	ovn_hef_citadel_of_dusk_faction	1	faction_to_faction_own_unseen
ovn_cod_defender_mech_dummy_bad	ovn_hef_citadel_of_dusk_faction	-1	faction_to_faction_own_unseen
ovn_cod_as_noble_dummy	ovn_hef_citadel_of_dusk_leader	1	character_to_province_own
ovn_cod_ll_visit_dummy	ovn_vor_hef_citadel_of_dusk_faction	1	faction_to_faction_own_unseen
wh2_dlc14_skv_snikch_lightning_strike	ovn_vor_hef_citadel_of_dusk_leader	1	character_to_force_own
ovn_cod_defender_mech_dummy_good	ovn_vor_hef_citadel_of_dusk_faction	1	faction_to_faction_own_unseen
ovn_cod_defender_mech_dummy_bad	ovn_vor_hef_citadel_of_dusk_faction	-1	faction_to_faction_own_unseen
ovn_cod_as_noble_dummy	ovn_vor_hef_citadel_of_dusk_leader	1	character_to_province_own
wh2_dlc10_effect_faction_all_campaign_movement_range	ovn_vor_hef_citadel_of_dusk_faction	10	faction_to_force_own
dread_legion_all_mattk	vor_tmb_the_sentinels_lord	6	faction_to_force_own
dread_legion_all_mdef	vor_tmb_the_sentinels_lord	6	faction_to_faction_own_unseen
dread_legion_all_phyres	vor_tmb_the_sentinels_lord	15	faction_to_force_own_unseen
wh_main_effect_religion_conversion_undeath	vor_tmb_the_sentinels_lord	3	faction_to_force_own_unseen
dread_legion_all_mattk	tmb_the_sentinels_lord	6	faction_to_faction_own_unseen
dread_legion_all_mdef	tmb_the_sentinels_lord	6	faction_to_force_own_unseen
dread_legion_all_phyres	tmb_the_sentinels_lord	15	faction_to_faction_own_unseen
wh_main_effect_religion_conversion_undeath	tmb_the_sentinels_lord	3	faction_to_faction_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	ovn_vor_caliphate_of_araby	-25	faction_to_faction_own_unseen
wh_main_effect_economy_trade_tariff_mod	ovn_vor_caliphate_of_araby	25	faction_to_faction_own_unseen
ovn_desert_att_immune_dummy	ovn_vor_caliphate_of_araby	1	faction_to_faction_own_unseen
