bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/ovn_fimir	
expendable	ovn_shearl
disturbed	ovn_killing_eye
damage_dealer	ovn_death_quest
damage_dealer	ovn_killing_eye
frenzy	ovn_death_quest
unbreakable	ovn_killing_eye
disturbed	ovn_death_quest
frenzy	ovn_killing_eye
unbreakable	ovn_death_quest
anti_large	ovn_fimm
frostbite	ovn_gharnus_demon
armour_piercing	ovn_fimm
armour_sundering	ovn_fimm
armoured	ovn_fimm
armour_piercing	ovn_fianna_fimm
armoured_and_shielded	ovn_gharnus_demon
armour_piercing	ovn_gharnus_demon
armoured	ovn_mistmor
armour_sundering	ovn_fianna_fimm
armoured	ovn_fianna_fimm
armour_piercing	ovn_mistmor
expendable	ovn_shearl_no_garrison
vanguard_deployment	ovn_marsh_hounds
very_fast	ovn_marsh_hounds
weak_anti_armour	ovn_marsh_hounds
aquatic	ovn_marsh_hounds
vanguard_deployment	ovn_mon_harpies
very_fast	ovn_mon_harpies
armoured_and_shielded	ovn_fimir_warriors
armour_piercing	ovn_fimir_warriors_great_weapons
armoured	ovn_fimir_warriors_great_weapons
armoured	ovn_fimir_dirach_fire
spellcaster	ovn_fimir_dirach_fire
armoured	ovn_fimir_dirach_shadow
spellcaster	ovn_fimir_dirach_shadow
armoured	ovn_fimir_dirach_beast
spellcaster	ovn_fimir_dirach_beast
armoured	ovn_fimir_dirach_death
spellcaster	ovn_fimir_dirach_death
regeneration	ovn_fenhulk
regeneration	ovn_fenbeast
armour_piercing	ovn_fenhulk
defender	ovn_fenhulk
terror	ovn_fenhulk
armour_piercing	ovn_fenbeast
expendable	ovn_boglar
expendable	ovn_boglar_no_garrison
poor_morale	ovn_boglar
poor_morale	ovn_boglar_no_garrison
armour_piercing	ovn_zoat
terror	ovn_zoat
armour_piercing	wh_dlc01_chs_inf_chaos_warriors_2_no_garrison
armoured	wh_dlc01_chs_inf_chaos_warriors_2_no_garrison
anti_large	wh_main_chs_inf_chaos_warriors_1_no_garrison
armour_piercing	wh_main_chs_inf_chaos_warriors_1_no_garrison
armoured	wh_main_chs_inf_chaos_warriors_1_no_garrison
charge_reflector_vs_large	wh_main_chs_inf_chaos_warriors_1_no_garrison
vanguard_deployment	wh_main_nor_cav_marauder_horsemen_0_no_garrison
armoured	wh_dlc01_chs_inf_forsaken_0_no_garrison
damage_dealer	wh_dlc01_chs_inf_forsaken_0_no_garrison
frenzy	wh_dlc01_chs_inf_forsaken_0_no_garrison
shielded	elo_albion_warriors_no_garrison
anti_large	elo_albion_warriors_spears_no_garrison
charge_reflector_vs_large	elo_albion_warriors_spears_no_garrison
very_fast	albion_riders_javelins_no_garrison
vanguard_deployment	albion_riders_javelins_no_garrison
fire_whilst_moving	albion_riders_javelins_no_garrison
armour_piercing	kho_bloodletter
anti_infantry	kho_bloodletter
rampage	kho_bloodletter
anti_large	Great_Deamon1_unit
armoured	Great_Deamon1_unit
terror	Great_Deamon1_unit
armour_piercing	Great_Deamon1_unit
shielded	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
decent_melee	ovn_fim_mon_javelin_0_belakor_garrison
very_fast	bacr_chs_inf_daemonette
dodge	bacr_chs_inf_daemonette
defender	rbt_nurgle_daemon
poison	rbt_nurgle_daemon
regeneration	rbt_nurgle_daemon
anti_infantry	ovn_finmor
armoured_and_shielded	ovn_finmor
melee_expert	ovn_finmor
anti_infantry	ovn_finmor_belakor
belakor_blessed	ovn_finmor_belakor
armoured	ovn_finmor_belakor
frenzy	ovn_finmor_belakor
armoured	wh_dlc08_nor_cha_fimir_balefiend_death
spellcaster	wh_dlc08_nor_cha_fimir_balefiend_death
armoured	wh_dlc08_nor_cha_fimir_balefiend_beast
spellcaster	wh_dlc08_nor_cha_fimir_balefiend_beast
anti_infantry	ovn_nuckelavee
armour_piercing	ovn_nuckelavee
aquatic	ovn_nuckelavee
anti_large	ovn_daemonomaniac
armour_piercing	ovn_daemonomaniac
terror	ovn_daemonomaniac
stalk	ovn_swamp_daemons
scaly_skin	ovn_swamp_daemons
damage_dealer	ovn_swamp_daemons
aquatic	ovn_swamp_daemons
anti_infantry	ovn_eye_oculus
armour_piercing_ranged	ovn_eye_oculus
magical_aura	ovn_eye_oculus
terror	ovn_eye_oculus
anti_large	ovn_daemonomaniac_ror
armour_piercing	ovn_daemonomaniac_ror
terror	ovn_daemonomaniac_ror
vanguard_deployment	ovn_moor_hounds_ror
very_fast	ovn_moor_hounds_ror
terror	ovn_moor_hounds_ror
aquatic	ovn_moor_hounds_ror
aquatic	ovn_marsh_hornets_ror
armoured_and_shielded	ovn_marsh_hornets_ror
scaly_skin	ovn_marsh_hornets_ror
stalk	ovn_swamp_daemons_summon
scaly_skin	ovn_swamp_daemons_summon
damage_dealer	ovn_swamp_daemons_summon
aquatic	ovn_swamp_daemons_summon
