unit_variants_tables	5
faction	name	unit	variant	unit_card
	arb_vizier_fire_0_1	arb_vizier_fire_0	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_fire_1_1	arb_vizier_fire_1	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_fire_2_1	arb_vizier_fire_2	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_life_0_1	arb_vizier_life_0	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_life_1_1	arb_vizier_life_1	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_life_2_1	arb_vizier_life_2	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_heavens_0_1	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_1_1	arb_vizier_heavens_1	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_2_1	arb_vizier_heavens_2	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_0_1	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_1_1	arb_vizier_heavens_1	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_2_1	arb_vizier_heavens_2	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_desert_0_1	arb_vizier_desert_0	arb_vizier_desert_0	arb_vizier_desert_0
	arb_vizier_desert_1_1	arb_vizier_desert_1	arb_vizier_desert_0	arb_vizier_desert_0
	arb_vizier_desert_2_1	arb_vizier_desert_2	arb_vizier_desert_0	arb_vizier_desert_0
	arb_vizier_fire_0_2	arb_vizier_fire_0	arb_vizier_fire_1	arb_vizier_fire_1
	arb_vizier_fire_1_2	arb_vizier_fire_1	arb_vizier_fire_1	arb_vizier_fire_1
	arb_vizier_fire_2_2	arb_vizier_fire_2	arb_vizier_fire_1	arb_vizier_fire_1
	arb_vizier_life_0_2	arb_vizier_life_0	arb_vizier_life_1	arb_vizier_life_1
	arb_vizier_life_1_2	arb_vizier_life_1	arb_vizier_life_1	arb_vizier_life_1
	arb_vizier_life_2_2	arb_vizier_life_2	arb_vizier_life_1	arb_vizier_life_1
	arb_vizier_heavens_0_2	arb_vizier_heavens_0	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_heavens_1_2	arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_heavens_2_2	arb_vizier_heavens_2	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_heavens_0_2	arb_vizier_heavens_0	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_heavens_1_2	arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_heavens_2_2	arb_vizier_heavens_2	arb_vizier_heavens_1	arb_vizier_heavens_1
	arb_vizier_desert_0_2	arb_vizier_desert_0	arb_vizier_desert_1	arb_vizier_desert_1
	arb_vizier_desert_1_2	arb_vizier_desert_1	arb_vizier_desert_1	arb_vizier_desert_1
	arb_vizier_desert_2_2	arb_vizier_desert_2	arb_vizier_desert_1	arb_vizier_desert_1
	arb_vizier_fire_0	arb_vizier_fire_0	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_fire_1	arb_vizier_fire_1	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_fire_2	arb_vizier_fire_2	arb_vizier_fire_0	arb_vizier_fire_0
	arb_vizier_life_0	arb_vizier_life_0	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_life_1	arb_vizier_life_1	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_life_2	arb_vizier_life_2	arb_vizier_life_0	arb_vizier_life_0
	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_2	arb_vizier_heavens_2	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_1	arb_vizier_heavens_1	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_heavens_2	arb_vizier_heavens_2	arb_vizier_heavens_0	arb_vizier_heavens_0
	arb_vizier_desert_0	arb_vizier_desert_0	arb_vizier_desert_0	arb_vizier_desert_0
	arb_vizier_desert_1	arb_vizier_desert_1	arb_vizier_desert_0	arb_vizier_desert_0
	arb_vizier_desert_2	arb_vizier_desert_2	arb_vizier_desert_0	arb_vizier_desert_0
