ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/obo_grudgebringers_data			
grudge_anc_rune_rune_of_fury	wh_main_effect_character_stat_mod_charge_add	character_to_character_own	12.0
grudge_anc_rune_rune_of_might	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	18.0
grudge_anc_rune_rune_of_parrying	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	20.0
grudge_anc_rune_rune_of_striking	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	10.0
grudge_item_horn_of_urgok	grudge_effect_ability_enable_horn_of_urgok	character_to_character_own	1.0
grudge_item_horn_of_urgok	wh_main_effect_character_stat_mod_morale	character_to_character_own	5.0
grudge_item_grudgebringer_sword	grudge_effect_ability_enable_grudgebringer_sword	character_to_character_own	1.0
grudge_item_grudgebringer_sword	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	15.0
grudge_item_grudgebringer_sword	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5.0
grudge_item_hellfire_sword	grudge_effect_ability_enable_hellfire_sword	character_to_character_own	1.0
grudge_item_hellfire_sword	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	15.0
grudge_item_storm_sword	grudge_effect_ability_enable_storm_sword	character_to_character_own	1.0
grudge_item_storm_sword	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	15.0
grudge_item_runefang	wh2_main_effect_character_stat_mod_melee_damage_versus_vampire_counts	character_to_character_own	80.0
grudge_item_runefang	wh2_main_effect_force_unit_stat_melee_attack_versus_all_undead	character_to_character_own	20.0
grudge_item_runefang	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10.0
grudge_item_runefang	grudge_effect_ability_enable_the_reikland_runefang	character_to_character_own	1.0
grudge_item_runefang	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
grudge_item_enchanted_shield	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	10.0
grudge_item_enchanted_shield	wh_main_effect_character_stat_mod_armour	character_to_character_own	20.0
grudge_item_shield_of_ptolos	wh_main_effect_character_stat_mod_armour	character_to_character_own	5.0
grudge_item_shield_of_ptolos	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	70.0
grudge_item_spelleater_shield	wh_main_effect_character_stat_mod_armour	character_to_character_own	3.0
grudge_item_spelleater_shield	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	70.0
grudge_item_spelleater_shield	grudge_effect_ability_enable_spelleater_shield	character_to_character_own	1.0
grudge_item_dragonhelm	wh_main_effect_character_stat_mod_armour	character_to_character_own	10.0
grudge_item_dragonhelm	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	100.0
grudge_item_wand_of_jet	effect_magic_ice_reduce_wom_cost	character_to_character_own	-2.0
