key	playable	effect_bundle	initial_power	campaign_key
#political_parties_tables;7;db/political_parties_tables/ovn				
wh2_main_political_party_arb_aswad_scythans	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_arb_caliphate_of_araby	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_arb_flaming_scimitar	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_emp_grudgebringers	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_emp_the_moot	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_hef_citadel_of_dusk	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_amz_amazons	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_albion	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_trollz	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_vor_arb_aswad_scythans	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_hef_citadel_of_dusk	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_arb_caliphate_of_araby	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_arb_flaming_scimitar	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_amz_amazons	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_nor_albion	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_emp_grudgebringers	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vmp_blood_dragons	true	wh_main_faction_trait_vampire_faction	100	main_warhammer
wh2_main_political_party_nor_harbingers_of_doom	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_rotbloods	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_servants_of_fimulneid	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_tmb_the_sentinels	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_vor_tmb_the_sentinels	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
