land_units_officers_tables	4
key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	personality_location	additional_personalities
wh_main_emp_officer_morgan_bernhardt	wh_main_emp_officer_morgan_bernhardt						front	
wh_main_emp_officer_eric_ragnar	wh_main_emp_officer_eric_ragnar						front	
grudgebringer_infantry_officer	grudgebringer_infantry_officer						front	
grudgebringer_cannon_officer	grudgebringer_cannon_officer						front	
grudgebringer_cavalry_officer	grudgebringer_cavalry_officer						front	
azguz_bloodfist_dwarf_warriors_officer	azguz_bloodfist_dwarf_warriors_officer						front	
dargrimm_firebeard_dwarf_warriors_officer	dargrimm_firebeard_dwarf_warriors_officer						front	
black_avangers_officer	black_avangers_officer						front	
grudgebringer_crossbow_officer	grudgebringer_crossbow_officer						front	
carlsson_cavalry_officer	carlsson_cavalry_officer						front	
countess_guard_officer	countess_guard_officer	countess_guard_officer1					front	
vannheim_75th_officer	vannheim_75th_officer						front	
