member	region
#campaign_group_member_criteria_regions_tables;0;db/campaign_group_member_criteria_regions_tables/ovn_transfer_region	
grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_fortress_of_the_damned	wh2_main_aghol_wastelands_fortress_of_the_damned
grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_palace_of_princes	wh2_main_aghol_wastelands_palace_of_princes
grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_the_palace_of_ruin	wh2_main_aghol_wastelands_the_palace_of_ruin
grudgebringer_occupation_decision_region_handover_wh2_main_albion_albion	wh2_main_albion_albion
grudgebringer_occupation_decision_region_handover_wh2_main_albion_citadel_of_lead	wh2_main_albion_citadel_of_lead
grudgebringer_occupation_decision_region_handover_wh2_main_albion_isle_of_wights	wh2_main_albion_isle_of_wights
grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_numas	wh2_main_ash_river_numas
grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_quatar	wh2_main_ash_river_quatar
grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_springs_of_eternal_life	wh2_main_ash_river_springs_of_eternal_life
grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_eye_of_the_panther	wh2_main_atalan_mountains_eye_of_the_panther
grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_martek	wh2_main_atalan_mountains_martek
grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_vulture_mountain	wh2_main_atalan_mountains_vulture_mountain
grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_evershale	wh2_main_avelorn_evershale
grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_gaean_vale	wh2_main_avelorn_gaean_vale
grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_tor_saroir	wh2_main_avelorn_tor_saroir
grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_plain_of_dogs	wh2_main_blackspine_mountains_plain_of_dogs
grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_plain_of_spiders	wh2_main_blackspine_mountains_plain_of_spiders
grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_red_desert	wh2_main_blackspine_mountains_red_desert
grudgebringer_occupation_decision_region_handover_wh2_main_caledor_tor_sethai	wh2_main_caledor_tor_sethai
grudgebringer_occupation_decision_region_handover_wh2_main_caledor_vauls_anvil	wh2_main_caledor_vauls_anvil
grudgebringer_occupation_decision_region_handover_wh2_main_charnel_valley_granite_massif	wh2_main_charnel_valley_granite_massif
grudgebringer_occupation_decision_region_handover_wh2_main_charnel_valley_karag_orrud	wh2_main_charnel_valley_karag_orrud
grudgebringer_occupation_decision_region_handover_wh2_main_chrace_elisia	wh2_main_chrace_elisia
grudgebringer_occupation_decision_region_handover_wh2_main_chrace_tor_achare	wh2_main_chrace_tor_achare
grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_al_haikk	wh2_main_coast_of_araby_al_haikk
grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_copher	wh2_main_coast_of_araby_copher
grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_fyrus	wh2_main_coast_of_araby_fyrus
grudgebringer_occupation_decision_region_handover_wh2_main_cothique_mistnar	wh2_main_cothique_mistnar
grudgebringer_occupation_decision_region_handover_wh2_main_cothique_tor_koruali	wh2_main_cothique_tor_koruali
grudgebringer_occupation_decision_region_handover_wh2_main_crater_of_the_walking_dead_doom_glade	wh2_main_crater_of_the_walking_dead_doom_glade
grudgebringer_occupation_decision_region_handover_wh2_main_crater_of_the_walking_dead_rasetra	wh2_main_crater_of_the_walking_dead_rasetra
grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_dargoth	wh2_main_deadwood_dargoth
grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_nagrar	wh2_main_deadwood_nagrar
grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_shagrath	wh2_main_deadwood_shagrath
grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_the_frozen_city	wh2_main_deadwood_the_frozen_city
grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_lahmia	wh2_main_devils_backbone_lahmia
grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_lybaras	wh2_main_devils_backbone_lybaras
grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_mahrak	wh2_main_devils_backbone_mahrak
grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_hag_hall	wh2_main_doom_glades_hag_hall
grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_ice_rock_gorge	wh2_main_doom_glades_ice_rock_gorge
grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_temple_of_addaioth	wh2_main_doom_glades_temple_of_addaioth
grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_vauls_anvil	wh2_main_doom_glades_vauls_anvil
grudgebringer_occupation_decision_region_handover_wh2_main_eataine_angerrial	wh2_main_eataine_angerrial
grudgebringer_occupation_decision_region_handover_wh2_main_eataine_lothern	wh2_main_eataine_lothern
grudgebringer_occupation_decision_region_handover_wh2_main_eataine_shrine_of_asuryan	wh2_main_eataine_shrine_of_asuryan
grudgebringer_occupation_decision_region_handover_wh2_main_eataine_tower_of_lysean	wh2_main_eataine_tower_of_lysean
grudgebringer_occupation_decision_region_handover_wh2_main_ellyrion_tor_elyr	wh2_main_ellyrion_tor_elyr
grudgebringer_occupation_decision_region_handover_wh2_main_ellyrion_whitefire_tor	wh2_main_ellyrion_whitefire_tor
grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_bel_aliad	wh2_main_great_desert_of_araby_bel_aliad
grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_black_tower_of_arkhan	wh2_main_great_desert_of_araby_black_tower_of_arkhan
grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_el-kalabad	wh2_main_great_desert_of_araby_el-kalabad
grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_pools_of_despair	wh2_main_great_desert_of_araby_pools_of_despair
grudgebringer_occupation_decision_region_handover_wh2_main_great_mortis_delta_black_pyramid_of_nagash	wh2_main_great_mortis_delta_black_pyramid_of_nagash
grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_chupayotl	wh2_main_headhunters_jungle_chupayotl
grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_mangrove_coast	wh2_main_headhunters_jungle_mangrove_coast
grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_marks_of_the_old_ones	wh2_main_headhunters_jungle_marks_of_the_old_ones
grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_oyxl	wh2_main_headhunters_jungle_oyxl
grudgebringer_occupation_decision_region_handover_wh2_main_heart_of_the_jungle_oreons_camp	wh2_main_heart_of_the_jungle_oreons_camp
grudgebringer_occupation_decision_region_handover_wh2_main_hell_pit_hell_pit	wh2_main_hell_pit_hell_pit
grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_chamber_of_visions	wh2_main_huahuan_desert_chamber_of_visions
grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_sentinels_of_xeti	wh2_main_huahuan_desert_sentinels_of_xeti
grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_the_golden_colossus	wh2_main_huahuan_desert_the_golden_colossus
grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_altar_of_ultimate_darkness	wh2_main_iron_mountains_altar_of_ultimate_darkness
grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_har_kaldra	wh2_main_iron_mountains_har_kaldra
grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_naggarond	wh2_main_iron_mountains_naggarond
grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_rackdo_gorge	wh2_main_iron_mountains_rackdo_gorge
grudgebringer_occupation_decision_region_handover_wh2_main_ironfrost_glacier_dagraks_end	wh2_main_ironfrost_glacier_dagraks_end
grudgebringer_occupation_decision_region_handover_wh2_main_ironfrost_glacier_ironfrost	wh2_main_ironfrost_glacier_ironfrost
grudgebringer_occupation_decision_region_handover_wh2_main_isthmus_of_lustria_fallen_gates	wh2_main_isthmus_of_lustria_fallen_gates
grudgebringer_occupation_decision_region_handover_wh2_main_isthmus_of_lustria_hexoatl	wh2_main_isthmus_of_lustria_hexoatl
grudgebringer_occupation_decision_region_handover_wh2_main_isthmus_of_lustria_skeggi	wh2_main_isthmus_of_lustria_skeggi
grudgebringer_occupation_decision_region_handover_wh2_main_isthmus_of_lustria_ziggurat_of_dawn	wh2_main_isthmus_of_lustria_ziggurat_of_dawn
grudgebringer_occupation_decision_region_handover_wh2_main_jungles_of_green_mist_pillars_of_unseen_constellations	wh2_main_jungles_of_green_mist_pillars_of_unseen_constellations
grudgebringer_occupation_decision_region_handover_wh2_main_jungles_of_green_mists_spektazuma	wh2_main_jungles_of_green_mists_spektazuma
grudgebringer_occupation_decision_region_handover_wh2_main_jungles_of_green_mists_wellsprings_of_eternity	wh2_main_jungles_of_green_mists_wellsprings_of_eternity
grudgebringer_occupation_decision_region_handover_wh2_main_kingdom_of_beasts_serpent_coast	wh2_main_kingdom_of_beasts_serpent_coast
grudgebringer_occupation_decision_region_handover_wh2_main_kingdom_of_beasts_temple_of_skulls	wh2_main_kingdom_of_beasts_temple_of_skulls
grudgebringer_occupation_decision_region_handover_wh2_main_kingdom_of_beasts_the_cursed_jungle	wh2_main_kingdom_of_beasts_the_cursed_jungle
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_assassins_lashiek	wh2_main_land_of_assassins_lashiek
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_assassins_palace_of_the_wizard_caliph	wh2_main_land_of_assassins_palace_of_the_wizard_caliph
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_assassins_sorcerers_islands	wh2_main_land_of_assassins_sorcerers_islands
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_the_dead_khemri	wh2_main_land_of_the_dead_khemri
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_the_dead_pyramid_of_nagash	wh2_main_land_of_the_dead_pyramid_of_nagash
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_the_dead_zandri	wh2_main_land_of_the_dead_zandri
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_the_dervishes_plain_of_tuskers	wh2_main_land_of_the_dervishes_plain_of_tuskers
grudgebringer_occupation_decision_region_handover_wh2_main_land_of_the_dervishes_sudenburg	wh2_main_land_of_the_dervishes_sudenburg
grudgebringer_occupation_decision_region_handover_wh2_main_laurelorn_forest_laurelorn_forest	wh2_main_laurelorn_forest_laurelorn_forest
grudgebringer_occupation_decision_region_handover_wh2_main_misty_hills_the_black_pit	wh2_main_misty_hills_the_black_pit
grudgebringer_occupation_decision_region_handover_wh2_main_misty_hills_wreckers_point	wh2_main_misty_hills_wreckers_point
grudgebringer_occupation_decision_region_handover_wh2_main_nagarythe_shrine_of_khaine	wh2_main_nagarythe_shrine_of_khaine
grudgebringer_occupation_decision_region_handover_wh2_main_nagarythe_tor_anlec	wh2_main_nagarythe_tor_anlec
grudgebringer_occupation_decision_region_handover_wh2_main_nagarythe_tor_dranil	wh2_main_nagarythe_tor_dranil
grudgebringer_occupation_decision_region_handover_wh2_main_northern_great_jungle_chaqua	wh2_main_northern_great_jungle_chaqua
grudgebringer_occupation_decision_region_handover_wh2_main_northern_great_jungle_temple_of_tlencan	wh2_main_northern_great_jungle_temple_of_tlencan
grudgebringer_occupation_decision_region_handover_wh2_main_northern_great_jungle_xahutec	wh2_main_northern_great_jungle_xahutec
grudgebringer_occupation_decision_region_handover_wh2_main_northern_great_jungle_xlanhuapec	wh2_main_northern_great_jungle_xlanhuapec
grudgebringer_occupation_decision_region_handover_wh2_main_northern_jungle_of_pahualaxa_macu_peaks	wh2_main_northern_jungle_of_pahualaxa_macu_peaks
grudgebringer_occupation_decision_region_handover_wh2_main_northern_jungle_of_pahualaxa_port_reaver	wh2_main_northern_jungle_of_pahualaxa_port_reaver
grudgebringer_occupation_decision_region_handover_wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek	wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek
grudgebringer_occupation_decision_region_handover_wh2_main_northern_jungle_of_pahualaxa_swamp_town	wh2_main_northern_jungle_of_pahualaxa_swamp_town
grudgebringer_occupation_decision_region_handover_wh2_main_obsidian_peaks_circle_of_destruction	wh2_main_obsidian_peaks_circle_of_destruction
grudgebringer_occupation_decision_region_handover_wh2_main_obsidian_peaks_clar_karond	wh2_main_obsidian_peaks_clar_karond
grudgebringer_occupation_decision_region_handover_wh2_main_obsidian_peaks_storag_kor	wh2_main_obsidian_peaks_storag_kor
grudgebringer_occupation_decision_region_handover_wh2_main_obsidian_peaks_venom_glade	wh2_main_obsidian_peaks_venom_glade
grudgebringer_occupation_decision_region_handover_wh2_main_saphery_port_elistor	wh2_main_saphery_port_elistor
grudgebringer_occupation_decision_region_handover_wh2_main_saphery_tor_finu	wh2_main_saphery_tor_finu
grudgebringer_occupation_decision_region_handover_wh2_main_saphery_tower_of_hoeth	wh2_main_saphery_tower_of_hoeth
grudgebringer_occupation_decision_region_handover_wh2_main_sartosa_sartosa	wh2_main_sartosa_sartosa
grudgebringer_occupation_decision_region_handover_wh2_main_sea_bay_of_corsairs	wh2_main_sea_bay_of_corsairs
grudgebringer_occupation_decision_region_handover_wh2_main_sea_eastern_straits_of_the_great_ocean	wh2_main_sea_eastern_straits_of_the_great_ocean
grudgebringer_occupation_decision_region_handover_wh2_main_sea_gulf_of_lustria	wh2_main_sea_gulf_of_lustria
grudgebringer_occupation_decision_region_handover_wh2_main_sea_gulf_of_medes	wh2_main_sea_gulf_of_medes
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sea_of_chill	wh2_main_sea_sea_of_chill
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sea_of_dreams	wh2_main_sea_sea_of_dreams
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sea_of_dusk	wh2_main_sea_sea_of_dusk
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sea_of_malice	wh2_main_sea_sea_of_malice
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sea_of_serpents	wh2_main_sea_sea_of_serpents
grudgebringer_occupation_decision_region_handover_wh2_main_sea_shark_straits	wh2_main_sea_shark_straits
grudgebringer_occupation_decision_region_handover_wh2_main_sea_shifting_isles	wh2_main_sea_shifting_isles
grudgebringer_occupation_decision_region_handover_wh2_main_sea_straits_of_fear	wh2_main_sea_straits_of_fear
grudgebringer_occupation_decision_region_handover_wh2_main_sea_sunken_lands	wh2_main_sea_sunken_lands
grudgebringer_occupation_decision_region_handover_wh2_main_sea_tarantula_coast	wh2_main_sea_tarantula_coast
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_bleak_coast	wh2_main_sea_the_bleak_coast
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_dragon_spine	wh2_main_sea_the_dragon_spine
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_far_sea	wh2_main_sea_the_far_sea
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_forbidding_coast	wh2_main_sea_the_forbidding_coast
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_galleons_graveyard	wh2_main_sea_the_galleons_graveyard
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_isles	wh2_main_sea_the_isles
grudgebringer_occupation_decision_region_handover_wh2_main_sea_the_vampire_coast	wh2_main_sea_the_vampire_coast
grudgebringer_occupation_decision_region_handover_wh2_main_sea_volcanic_islands	wh2_main_sea_volcanic_islands
grudgebringer_occupation_decision_region_handover_wh2_main_shifting_sands_antoch	wh2_main_shifting_sands_antoch
grudgebringer_occupation_decision_region_handover_wh2_main_shifting_sands_bhagar	wh2_main_shifting_sands_bhagar
grudgebringer_occupation_decision_region_handover_wh2_main_shifting_sands_ka-sabar	wh2_main_shifting_sands_ka-sabar
grudgebringer_occupation_decision_region_handover_wh2_main_skavenblight_skavenblight	wh2_main_skavenblight_skavenblight
grudgebringer_occupation_decision_region_handover_wh2_main_solland_pfeildorf	wh2_main_solland_pfeildorf
grudgebringer_occupation_decision_region_handover_wh2_main_solland_steingart	wh2_main_solland_steingart
grudgebringer_occupation_decision_region_handover_wh2_main_southern_great_jungle_axlotl	wh2_main_southern_great_jungle_axlotl
grudgebringer_occupation_decision_region_handover_wh2_main_southern_great_jungle_itza	wh2_main_southern_great_jungle_itza
grudgebringer_occupation_decision_region_handover_wh2_main_southern_great_jungle_subatuun	wh2_main_southern_great_jungle_subatuun
grudgebringer_occupation_decision_region_handover_wh2_main_southern_jungle_of_pahualaxa_floating_pyramid	wh2_main_southern_jungle_of_pahualaxa_floating_pyramid
grudgebringer_occupation_decision_region_handover_wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon	wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon
grudgebringer_occupation_decision_region_handover_wh2_main_southern_jungle_of_pahualaxa_pahuax	wh2_main_southern_jungle_of_pahualaxa_pahuax
grudgebringer_occupation_decision_region_handover_wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel	wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel
grudgebringer_occupation_decision_region_handover_wh2_main_southlands_jungle_golden_tower_of_the_gods	wh2_main_southlands_jungle_golden_tower_of_the_gods
grudgebringer_occupation_decision_region_handover_wh2_main_southlands_jungle_teotiqua	wh2_main_southlands_jungle_teotiqua
grudgebringer_occupation_decision_region_handover_wh2_main_southlands_worlds_edge_mountains_karak_zorn	wh2_main_southlands_worlds_edge_mountains_karak_zorn
grudgebringer_occupation_decision_region_handover_wh2_main_southlands_worlds_edge_mountains_lost_plateau	wh2_main_southlands_worlds_edge_mountains_lost_plateau
grudgebringer_occupation_decision_region_handover_wh2_main_southlands_worlds_edge_mountains_mount_arachnos	wh2_main_southlands_worlds_edge_mountains_mount_arachnos
grudgebringer_occupation_decision_region_handover_wh2_main_spine_of_sotek_hualotal	wh2_main_spine_of_sotek_hualotal
grudgebringer_occupation_decision_region_handover_wh2_main_spine_of_sotek_mine_of_the_bearded_skulls	wh2_main_spine_of_sotek_mine_of_the_bearded_skulls
grudgebringer_occupation_decision_region_handover_wh2_main_spine_of_sotek_monument_of_izzatal	wh2_main_spine_of_sotek_monument_of_izzatal
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_coast_arnheim	wh2_main_the_black_coast_arnheim
grudgebringer_occupation_decision_region_handover_wh2_main_the_black_coast_bleak_hold_fortress	wh2_main_the_black_coast_bleak_hold_fortress
