effect_bonus_value_agent_action_record_junctions_tables	0
bonus_value_id	effect	agent_action_record
active	ovn_effect_agent_action_enable_spy_hinder_settlement_damage_building	ovn_agent_action_spy_hinder_settlement_damage_building
active	ovn_effect_agent_action_enable_spy_hinder_agent_wound	ovn_agent_action_spy_hinder_agent_wound
active	ovn_effect_agent_action_enable_spy_hinder_settlement_assault_units	ovn_agent_action_spy_hinder_settlement_assault_units
active	ovn_effect_agent_action_enable_champion_assist_army_enhance_mobility	ovn_agent_action_champion_assist_army_enhance_mobility
active	ovn_effect_agent_action_enable_champion_hinder_settlement_steal_technology	ovn_agent_action_champion_hinder_settlement_steal_technology
active	ovn_create_restaurant_enable	ovn_create_restaurant
success_mod	ovn_create_restaurant_disable	ovn_create_restaurant
cost_mod	ovn_create_restaurant_cost_mod	ovn_create_restaurant
cost_mod	ovn_create_restaurant_cost_mod_hidden	ovn_create_restaurant
