ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ovn_crafting_araby_slaves	
wh2_main_anc_follower_skv_trainee_assassin	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_slave_skv	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_slave_human	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_scribe	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_scavenger_1	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_sacrificial_victim_lizardman	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_sacrificial_victim_dwarf	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_saboteur	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_pet_wolf_rat	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_messenger	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_mechanic	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_hell_pit_attendant	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_female	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_clerk	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_chemist	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_bodyguard	wh_main_sc_emp_araby
wh2_main_anc_follower_skv_artefact_hunter	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_zoat	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_veteran_warrior	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_temple_cleaner	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_sacrificial_victim_skv	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_sacrificial_victim_human	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_librarian	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_gardener	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_fan_waver	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_defence_expert	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_clerk	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_attendant	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_astronomer	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_artefact_hunter	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_archivist	wh_main_sc_emp_araby
wh2_main_anc_follower_lzd_acolyte_priest	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_swamp_trawler_skink	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_prophets_spawn_brother	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_priest_of_the_star_chambers	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_piqipoqi_qupacoco	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_obsinite_miner_skink	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_lotl_botls_spawn_brother	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_consul_of_calith	wh_main_sc_emp_araby
wh2_dlc12_lzd_anc_follower_chameleon_spotter	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_wine_merchant	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_trappist	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_shrine_keeper	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_scout	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_raven_keeper	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_priestess_isha	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_priest_vaul	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_poisoner	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_minstrel	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_librarian	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_food_taster	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_dragon_armourer	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_counterspy	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_counsellor	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_beard_weaver	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_bard	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_assassin	wh_main_sc_emp_araby
wh2_main_anc_follower_hef_admiral	wh_main_sc_emp_araby
wh2_main_anc_follower_def_slave_trader	wh_main_sc_emp_araby
wh2_main_anc_follower_def_slave	wh_main_sc_emp_araby
wh2_main_anc_follower_def_propagandist	wh_main_sc_emp_araby
wh2_main_anc_follower_def_overseer	wh_main_sc_emp_araby
wh2_main_anc_follower_def_organ_merchant	wh_main_sc_emp_araby
wh2_main_anc_follower_def_musician_flute	wh_main_sc_emp_araby
wh2_main_anc_follower_def_musician_drum	wh_main_sc_emp_araby
wh2_main_anc_follower_def_musician_choirmaster	wh_main_sc_emp_araby
wh2_main_anc_follower_def_merchant	wh_main_sc_emp_araby
wh2_main_anc_follower_def_harem_keeper	wh_main_sc_emp_araby
wh2_main_anc_follower_def_gravedigger	wh_main_sc_emp_araby
wh2_main_anc_follower_def_fanatic	wh_main_sc_emp_araby
wh2_main_anc_follower_def_diplomat_slaanesh	wh_main_sc_emp_araby
