order	special_ability	phase
#special_ability_to_special_ability_phase_junctions_tables;1;db/special_ability_to_special_ability_phase_junctions_tables/ovn		
0	elo_special_treat	elo_special_treat
0	elo_those_are_tasty	elo_those_are_tasty
1	ovn_feast	ovn_feast
1	ovn_thief	ovn_thief
1	ovn_fight_eat	ovn_fight_eat
1	ovn_take_bite	ovn_take_bite
1	ovn_dont_abandon	ovn_dont_abandon
1	ammo_supply	ammo_supply
1	equipment_maintanance	equipment_maintanance
1	smokeleaf_smokescreen	smokeleaf_smokescreen
1	elo_superfood	elo_superfood
1	cr_unit_formation_shieldwall	cr_unit_formation_shieldwall
1	ovn_character_passive_sobriety	ovn_character_passive_sobriety
1	ovn_character_abilities_hair_of_the_dog	ovn_character_abilities_hair_of_the_dog
1	ovn_character_abilities_whirling_death	wh2_dlc16_unit_abilities_whirling_death
1	ovn_character_abilities_storm_of_blades	wh_dlc05_unit_abilities_storm_of_blades
1	ovn_character_abilities_the_shadows_coil	wh_dlc05_unit_abilities_the_shadows_coil
1	ovn_character_abilities_woven_mist	wh_dlc05_unit_abilities_woven_mist
1	ovn_character_passive_unlikely_friendship	ovn_character_passive_unlikely_friendship
1	ovn_character_passive_self_preservation	ovn_character_passive_self_preservation
1	ovn_unit_passive_unbinding_djinn	ovn_unit_passive_unbinding_djinn
2	ovn_unit_passive_unbinding_djinn	wh_main_unit_passive_unbinding_weak
3	ovn_unit_passive_unbinding_djinn	wh_main_unit_passive_unbinding_critical
1	ovn_lore_passive_blessing_of_the_elements	ovn_lore_passive_blessing_of_the_elements
1	ovn_spell_desert_quicksand	ovn_spell_desert_quicksand
1	ovn_spell_desert_quicksand_upgraded	ovn_spell_desert_quicksand_upgraded
1	ovn_spell_desert_curse_of_the_djinn	ovn_spell_desert_curse_of_the_djinn
1	ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_desert_curse_of_the_djinn_upgraded
1	ovn_unit_passive_unbinding_arb_spearmen_mirage	ovn_unit_passive_unbinding_arb_spearmen_mirage
2	ovn_unit_passive_unbinding_arb_spearmen_mirage	wh_main_unit_passive_unbinding_weak
