ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured_and_shielded	albion_shieldmaiden_ror
anti_large	albion_shieldmaiden_ror
charge_reflector	albion_shieldmaiden_ror
woad_paint	albion_bologs_giant_ror
armour_piercing	albion_bologs_giant_ror
anti_infantry	albion_woadraider_sworn_ror
woad_paint	albion_woadraider_sworn_ror
unbreakable	albion_woadraider_sworn_ror
frenzy	albion_woadraider_sworn_ror
armoured_and_shielded	alb_cav_noble_first_ror
disciplined	alb_cav_noble_first_ror
devestating_charge	alb_cav_noble_first_ror
something_prove	alb_cav_noble_first_ror
shielded	albion_warriors_lugh
disciplined	albion_warriors_lugh
servants_lugh	albion_warriors_lugh
armour_piercing_ranged	albion_huntresses_warden_ror
decent_melee	albion_huntresses_warden_ror
charge_reflector_vs_large	albion_huntresses_warden_ror
stalk	albion_huntresses_warden_ror
armour_piercing_ranged	albion_centaur_hunter_ror
woad_paint	albion_centaur_hunter_ror
anti_large	albion_centaur_hunter_ror
fire_whilst_moving	albion_centaur_hunter_ror
armour_piercing	albion_cachtorr_stonethrower
anti_infantry	albion_cachtorr_stonethrower
woad_paint	albion_cachtorr_stonethrower
terror	albion_cachtorr_stonethrower
armour_piercing	albion_highlander_ror
anti_infantry	albion_highlander_ror
incredible_will	albion_highlander_ror
deathblow	albion_highlander_ror
