id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/!ovn_albion_climate		
ovn_albion_climate_chaotic	wh2_climate_unsuitable	2.0
ovn_albion_climate_desert	wh2_climate_uninhabitable	2.0
ovn_albion_climate_frozen	wh2_climate_suitable	2.0
ovn_albion_climate_island	wh2_climate_suitable	2.0
ovn_albion_climate_jungle	wh2_climate_uninhabitable	2.0
ovn_albion_climate_magicforest	wh2_climate_uninhabitable	2.0
ovn_albion_climate_mountain	wh2_climate_unsuitable	2.0
ovn_albion_climate_ocean	wh2_climate_uninhabitable	2.0
ovn_albion_climate_savannah	wh2_climate_unsuitable	2.0
ovn_albion_climate_temperate	wh2_climate_suitable	2.0
ovn_albion_climate_wasteland	wh2_climate_unsuitable	2.0
