id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/!Araby_landmark		
3581269318	ovn_arb_haikk	major_secondary_salt_coast_of_araby_al_haikk
3581269319	ovn_arb_bel	minor_secondary_gold_great_desert_of_araby_bel_aliad
3581269320	ovn_arb_fyrus	wh2_dlc14_special_fyrus_secondary
3581269321	ovn_arb_Sabar	wh2_dlc09_special_ka_sabar_secondary
3581269322	ovn_arb_Madrasat	minor_secondary_land_of_assassins_sorcerers_islands
3581269323	ovn_arb_Sartosa	wh2_main_special_sartosa_secondary
3581269324	ovn_arb_Magritta	wh_main_special_magritta_secondary
3581269326	ovn_arb_Crypt	wh2_dlc09_special_ka_sabar_secondary
3581269325	ovn_arb_Twilight	minor_secondary_gold_great_desert_of_araby_bel_aliad
3581269333	ovn_arb_haikk	major_secondary_vor_land_of_assassins_palace_of_the_wizard_caliph
3581269327	ovn_arb_bel	minor_secondary_gold_vor_the_great_desert_bel_aliad
3581269328	ovn_arb_fyrus	major_secondary_dyes_vor_land_of_the_dervishes_el-kalabad
3581269329	ovn_arb_Sabar	wh2_main_vor_special_karak_orrud_secondary
3581269330	ovn_arb_Madrasat	major_secondary_vor_land_of_assassins_palace_of_the_wizard_caliph
3581269331	ovn_arb_Crypt	wh2_main_vor_special_karak_orrud_secondary
3581269332	ovn_arb_Twilight	minor_secondary_gold_vor_the_great_desert_bel_aliad
