ancillaries_tables	18
key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed
dread_chariot_skeletal_steed	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_dread_centurion_chariot		1	1		false	false	false
dread_legion_barded_skeletal_steed	wh_main_anc_mount_barded_skeletal_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_dread_centurion_barded_horse		1	1		false	false	false
elo_dread_centurion_horse	wh_main_anc_mount_skeletal_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_dread_centurion_horse		1	1		false	false	false
luthor_the_hunchback	wh_main_anc_vampire_counts_necromancer	.	false	false	false	1	0	9999			true	false	false	general	16	30	30	50	true			200	1	follower	false	false	false
mount_barded_skeletal_steed_liche	wh_main_anc_mount_barded_skeletal_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_liche_general_barded_steed		1	1		false	false	false
mount_chariot_liche	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_liche_general_chariot		1	1		false	false	false
mount_warsphinx_liche	wh2_dlc09_anc_mount_khemrian_warsphinx	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_liche_general_warsphinx		1	1		false	false	false
mount_chariot_hand_of_nagash	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	elo_hand_of_nagash_chariot		1	1		false	false	false
elo_hand_punished_one	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			true	false	false	enchanted_item	16	30	30	50	true			9000	1		false	false	false
elo_hungering_blade	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			9000	1		false	false	false
anc_adventurer_trinkets	wh_main_anc_talisman	.	false	false	false	1	0	9999			true	false	false	talisman	16	30	30	50	true			200	1		false	false	false
anc_resevoir_stone	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	1		false	false	false
chalcidar_orb	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			true	false	false	enchanted_item	16	30	30	50	true			200	1		false	false	false
malach_sword	wh_main_anc_weapon	.	true	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	1		false	false	false
ovn_anc_magic_standard_ptolos	grudge_item_shield_of_ptolos	.	true	false	false	1	0	9999			true	false	false	general	16	30	30	50	true		ovn_anc_magic_standard_ptolos	200	0	banner	false	false	false
hlf_staff	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	1		false	false	false
hlf_robe	wh_main_anc_armour	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	1		false	false	false
