units_to_groupings_military_permissions_tables	0
unit	military_group
grudgebringer_cannon	ovn_grudge
helmgart_bowmen	ovn_grudge
dargrimm_firebeard_dwarf_warriors	ovn_grudge
urblab_rotgut_mercenary_ogres	ovn_grudge
galed_elf_archers	ovn_grudge
black_avangers	ovn_grudge
carlsson_guard	ovn_grudge
vannheim_75th	ovn_grudge
grudgebringer_infantry	ovn_grudge
grudgebringer_crossbow	ovn_grudge
keelers_longbows	ovn_grudge
azguz_bloodfist_dwarf_warriors	ovn_grudge
treeman_knarlroot	ovn_grudge
elrod_wood_elf_glade_guards	ovn_grudge
carlsson_cavalry	ovn_grudge
countess_guard	ovn_grudge
treeman_gnarl_fist	ovn_grudge
wh_main_dwf_inf_dwarf_warrior_0	ovn_grudge
wh2_main_hef_inf_white_lions_of_chrace_0	ovn_grudge
sr_ogre	ovn_grudge
ovn_glad	ovn_grudge
wh_dlc04_emp_inf_free_company_militia_0	ovn_grudge
wh_main_emp_inf_swordsmen	ovn_grudge
wh_main_emp_inf_spearmen_0	ovn_grudge
wh_dlc04_emp_inf_flagellants_0	ovn_grudge
lzd_amazon	ovn_grudge
jag_amazon	ovn_grudge
halfling_archer	ovn_grudge
wh_dlc07_brt_cav_knights_errant_0	ovn_grudge
wh_main_emp_cav_pistoliers_1	ovn_grudge
ragnar_wolves	ovn_grudge
ceridan	ovn_grudge
wh2_dlc13_emp_inf_archers_0	ovn_grudge
wh2_dlc13_emp_inf_huntsmen_0	ovn_grudge
wh_main_emp_inf_crossbowmen	ovn_grudge
wh_main_emp_inf_spearmen_1	ovn_grudge
wh_main_emp_art_mortar	ovn_grudge
wh_main_emp_inf_handgunners	ovn_grudge
wh_main_emp_inf_halberdiers	ovn_grudge
wh_main_emp_cav_outriders_0	ovn_grudge
wh_main_emp_cav_empire_knights	ovn_grudge
wh_main_emp_inf_greatswords	ovn_grudge
wh2_dlc13_emp_art_great_cannon_imperial_supply	ovn_grudge
wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	ovn_grudge
wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_empire_knights_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_outriders_1_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	ovn_grudge
wh2_dlc13_emp_cav_reiksguard_imperial_supply	ovn_grudge
wh2_dlc13_emp_inf_greatswords_imperial_supply	ovn_grudge
wh2_dlc13_emp_inf_halberdiers_imperial_supply	ovn_grudge
wh2_dlc13_emp_inf_handgunners_imperial_supply	ovn_grudge
wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	ovn_grudge
wh2_dlc13_emp_veh_steam_tank_imperial_supply	ovn_grudge
wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	ovn_grudge
wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	ovn_grudge
morgan_bernhardt	ovn_grudge
vladimir_stormbringer	ovn_grudge
