effect_bonus_value_subculture_junctions_tables	0
bonus_value_id	effect	subculture
diplomatic_mod	wh2_dlc09_faction_political_diplomacy_mod	wh_main_sc_nor_warp
diplomatic_mod	wh2_dlc11_culture_diplomacy_choas	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_vortex_victory_diplomacy_penalty_def	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_vortex_victory_diplomacy_penalty_hef	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_vortex_victory_diplomacy_penalty_lzd	wh_main_sc_nor_warp
diplomatic_mod	wh2_main_vortex_victory_diplomacy_penalty_skv	wh_main_sc_nor_warp
diplomatic_mod_tech	wh_dlc03_faction_diplomacy_mod	wh_main_sc_nor_warp
diplomatic_mod_tech	wh_dlc05_tech_diplomacy_bonus_teb_norsca	wh_main_sc_nor_warp
diplomatic_mod	wh_dlc10_faction_diplomacy_mod	wh_main_sc_nor_warp
diplomatic_mod_tech	wh_main_faction_diplomacy_penalty_norsca_technology	wh_main_sc_nor_warp
diplomatic_mod	wh_main_faction_diplomacy_penalty_norsca	wh_main_sc_nor_warp
diplomatic_mod	wh_main_faction_political_diplomacy_mod	wh_main_sc_nor_warp
