building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_grudge			
wh_main_emp_cha_grudge_main		wh_main_emp_cha_grudge_settlement	false
wh_main_emp_cha_grudge_recruit		wh_main_emp_cha_grudge_recruit	false
wh_main_emp_cha_grudge_wizard		wh_main_emp_cha_grudge_worship	false
wh_main_emp_cha_grudge_worship		wh_main_emp_cha_grudge_worship	false
wh_main_emp_cha_grudge_growth		wh_main_emp_cha_grudge_structure	false
wh_main_emp_cha_grudge_bank		wh_main_emp_cha_grudge_worship	false
wh_main_emp_cha_grudge_paymaster		wh_main_emp_cha_grudge_equipment	false
wh_main_emp_cha_grudge_hero		wh_main_emp_cha_grudge_equipment	false
	wh_main_emp_cha_grudge_main_1	wh_main_emp_cha_grudge_newhorde	false
	wh_main_emp_cha_grudge_recruit_1	wh_main_emp_cha_grudge_newhorde	false
