cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_monster	5	elo_southern_trolls
Default_land_monster	20	elo_armoured_icetrolls
Default_land_monster	45	elo_red_avalanche
Default_land_monster	10	elo_river_trolls
Default_land_monster	20	elo_mountain_trolls
Default_land_monster	40	elo_shipwreckers
Default_land_command	10	elo_cha_troll_lord
Default_land_monster	35	elo_kin
Default_land_monster	10	elo_forest_trolls
Default_land_monster	30	elo_bile_trolls
Default_land_monster	35	elo_snow_troll
Default_land_monster	20	elo_armoured_icetrolls_erengrad
Default_land_monster	18	elo_river_trolls_erengrad
Default_land_monster	15	elo_mountain_trolls_erengrad
Default_land_monster	10	elo_forest_trolls_erengrad
Default_land_monster	35	elo_snow_troll_erengrad
Default_land_command	10	elo_chief_ugma
Default_land_monster	15	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
Default_land_monster	12	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
Default_land_monster	55	elo_night_trolls_ror
Default_land_infantry_melee	4	elo_carrion_gobbo_melee
Default_land_infantry_missile	5	elo_carrion_gobbo_bow
Default_land_cavalry_melee	8	elo_carrion_squig_hoppers
Default_land_monster	30	elo_warpstone_trolls
Default_land_infantry_missile_heavy	15	ovn_trl_inf_stone_throw_troll
