technology_nodes_tables	3
campaign_key	faction_key	indent	key	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
		1	elo_fimir_slave_eco_1_belakor_new	elo_fimir_slave_eco_1_belakor	ovn_harbingers_of_doom_tech	1	300	0	0		
		3	elo_fimir_slave_eco_2_belakor_new	elo_fimir_slave_eco_2_belakor	ovn_harbingers_of_doom_tech	1	500	0	0		
		5	elo_fimir_slave_eco_3_belakor_new	elo_fimir_slave_eco_3_belakor	ovn_harbingers_of_doom_tech	1	800	0	0		
		7	elo_fimir_slave_eco_4_belakor_new	elo_fimir_slave_eco_4_belakor	ovn_harbingers_of_doom_tech	1	1200	0	0		
		9	elo_fimir_slave_eco_5_belakor_new	elo_fimir_slave_eco_5_belakor	ovn_harbingers_of_doom_tech	1	1500	0	0		
		1	elo_fimir_culture_1_belakor_new	elo_fimir_culture_1_belakor	ovn_harbingers_of_doom_tech	0	300	0	0		
		3	elo_fimir_culture_2_belakor_new	elo_fimir_culture_2_belakor	ovn_harbingers_of_doom_tech	0	500	0	0		
		5	elo_fimir_culture_3_belakor_new	elo_fimir_culture_3_belakor	ovn_harbingers_of_doom_tech	0	800	0	0		
		7	elo_fimir_culture_4_belakor_new	elo_fimir_culture_4_belakor	ovn_harbingers_of_doom_tech	0	1200	0	0		
		9	elo_fimir_culture_5_belakor_new	elo_fimir_culture_5_belakor	ovn_harbingers_of_doom_tech	0	1500	0	0		
		1	elo_fimir_military_1_belakor_new	elo_fimir_military_1_belakor	ovn_harbingers_of_doom_tech	2	300	0	0		
		3	elo_fimir_military_2_belakor_new	elo_fimir_military_2_belakor	ovn_harbingers_of_doom_tech	2	500	0	0		
		5	elo_fimir_military_3_belakor_new	elo_fimir_military_3_belakor	ovn_harbingers_of_doom_tech	2	800	0	0		
		7	elo_fimir_military_4_belakor_new	elo_fimir_military_4_belakor	ovn_harbingers_of_doom_tech	2	1200	0	0		
		9	elo_fimir_military_5_belakor_new	elo_fimir_military_5_belakor	ovn_harbingers_of_doom_tech	2	1500	0	0		
		1	elo_fimir_magic_1_belakor_new	elo_fimir_magic_1_belakor	ovn_harbingers_of_doom_tech	3	300	0	0		
		3	elo_fimir_magic_2_belakor_new	elo_fimir_magic_2_belakor	ovn_harbingers_of_doom_tech	3	500	0	0		
		5	elo_fimir_magic_3_belakor_new	elo_fimir_magic_3_belakor	ovn_harbingers_of_doom_tech	3	800	0	0		
		7	elo_fimir_magic_4_belakor_new	elo_fimir_magic_4_belakor	ovn_harbingers_of_doom_tech	3	1200	0	0		
		9	elo_fimir_magic_5_belakor_new	elo_fimir_magic_5_belakor	ovn_harbingers_of_doom_tech	3	1500	0	0		
		1	elo_fimir_chaos_belakor_1_new	elo_fimir_chaos_belakor_1	ovn_harbingers_of_doom_tech	4	300	0	0		
		3	elo_fimir_chaos_belakor_2_new	elo_fimir_chaos_belakor_2	ovn_harbingers_of_doom_tech	4	500	0	0		
		5	elo_fimir_chaos_belakor_3_new	elo_fimir_chaos_belakor_3	ovn_harbingers_of_doom_tech	4	800	0	0		
		7	elo_fimir_chaos_belakor_4_new	elo_fimir_chaos_belakor_4	ovn_harbingers_of_doom_tech	4	1200	0	0		
		9	elo_fimir_chaos_belakor_5_new	elo_fimir_chaos_belakor_5	ovn_harbingers_of_doom_tech	4	1500	0	0		
		1	elo_fimir_swamp_creatures_1_belakor_new	elo_fimir_swamp_creatures_1_belakor	ovn_harbingers_of_doom_tech	5	300	0	0		
		3	elo_fimir_swamp_creatures_2_belakor_new	elo_fimir_swamp_creatures_2_belakor	ovn_harbingers_of_doom_tech	5	500	0	0		
		5	elo_fimir_swamp_creatures_3_belakor_new	elo_fimir_swamp_creatures_3_belakor	ovn_harbingers_of_doom_tech	5	800	0	0		
		7	elo_fimir_swamp_creatures_4_belakor_new	elo_fimir_swamp_creatures_4_belakor	ovn_harbingers_of_doom_tech	5	1200	0	0		
		9	elo_fimir_swamp_creatures_5_belakor_new	elo_fimir_swamp_creatures_5_belakor	ovn_harbingers_of_doom_tech	5	1500	0	0		
		11	elo_fimir_culture_eco_belakor_new	elo_fimir_culture_eco_belakor	ovn_harbingers_of_doom_tech	1	100	10000	0		
		11	elo_fimir_eco_military_belakor_new	elo_fimir_eco_military_belakor	ovn_harbingers_of_doom_tech	2	100	10000	0		
		11	elo_fimir_military_magic_belakor_new	elo_fimir_military_magic_belakor	ovn_harbingers_of_doom_tech	3	100	10000	0		
		11	elo_fimir_magic_belakor_new	elo_fimir_magic_belakor	ovn_harbingers_of_doom_tech	4	100	10000	0		
		11	elo_fimir_loyalist_creatures_belakor_new	elo_fimir_loyalist_creatures_belakor	ovn_harbingers_of_doom_tech	5	100	10000	0		
		-2	ovn_harbingers_of_doom_dummy	tech_dwf_civ_5_0	ovn_harbingers_of_doom_tech	0	999999	0	0		
