land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
arb_fatandira_aimed_shot	arb_fatandira
wh_main_character_abilities_deadly_onslaught	arb_fatandira
wh_main_character_abilities_foe_seeker	arb_fatandira
arb_fatandira_desert_feint	arb_fatandira
wh_main_character_abilities_stand_your_ground	arb_fatandira
arb_fatandira_aimed_shot	arb_fatandira_warhorse
wh_main_character_abilities_deadly_onslaught	arb_fatandira_warhorse
wh_main_character_abilities_foe_seeker	arb_fatandira_warhorse
arb_fatandira_desert_feint	arb_fatandira_warhorse
wh_main_character_abilities_stand_your_ground	arb_fatandira_warhorse
arb_fatandira_aimed_shot	arb_fatandira_roc
wh_main_character_abilities_deadly_onslaught	arb_fatandira_roc
wh_main_character_abilities_foe_seeker	arb_fatandira_roc
arb_fatandira_desert_feint	arb_fatandira_roc
wh_main_character_abilities_stand_your_ground	arb_fatandira_roc
