group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_cod		
Default_land_cavalry_melee	ovn_hef_cav_ellyrian_reavers_shore	10
Default_land_infantry_missile	ovn_hef_inf_archers_sea	10
Default_land_infantry_missile	ovn_hef_inf_archers_fire	10
Default_land_infantry_missile	ovn_hef_inf_archers_wind	10
Default_land_cavalry_melee	ovn_hef_inf_spearmen_falcon	10
Default_land_cavalry_melee	ovn_hef_inf_spearmen_sapphire	10
Default_land_command	ovn_stormrider_mount	10
Default_land_command	ovn_stormrider	10
Default_land_support	cr_hef_veh_lothern_skycutter	30
Default_land_support	cr_hef_veh_lothern_skycutter_ror	30
