campaign_character_art_sets_tables	6
agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
general	elo_liche_general			wh2_dlc09_tmb_the_sentinels	false	true	elo_liche_general	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_01	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_02	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_03	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_04	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_05	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_01_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_02_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_lahmizzash	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_03_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_rakhash	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_04_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_setep	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_05_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_thutep	1.0
general	wh2_dlc09_art_set_tmb_tomb_king_06_tech	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_wakhaf	1.0
