unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
elo_summon_fenbeasts	wh_main_all_direct_damage_unbinding
elo_summon_fenbeasts	elo_summon_fenbeasts
elo_amulet_old_ones	wh_main_all_replenish_burst
elo_amulet_old_ones	wh_main_all_increased_max_power
elo_amulet_old_ones	elo_amulet_old_ones
spell_truth_wings_fate	wh2_main_all_weak_against_armour
spell_truth_wings_fate	wh2_main_all_magical_damage_moderate
spell_truth_wings_fate	wh_main_all_strong_against_multiple
spell_truth_wings_fate_upgraded	wh_main_all_strong_against_multiple
spell_truth_wings_fate_upgraded	wh_main_spell_upgraded_ap_damage_explosion_ranged
spell_truth_wings_fate_upgraded	wh_main_spell_upgraded_damage
spell_truth_wings_fate_upgraded	wh2_main_all_magical_damage_moderate
spell_truth_gift_life	wh_main_all_replenish
spell_truth_gift_life	wh_main_all_resurrect
spell_truth_gift_life	wh_main_all_resurrect_hp
spell_truth_gift_life_upgraded	wh_main_all_replenish
spell_truth_gift_life_upgraded	wh_main_all_resurrect
spell_truth_gift_life_upgraded	wh_main_all_resurrect_hp
spell_truth_gift_life_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_valor_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_protection_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_voice_command_upgraded	wh_main_spell_upgraded_added_effect_range
murder_crows	wh_main_all_direct_damage
murder_crows	wh_main_all_direct_damage_resist_high
murder_crows	wh_main_all_strong_against_multiple
murder_crows	wh_main_all_weak_against_single
spell_truth_wings_fate_bound	wh_main_all_strong_against_multiple
spell_truth_wings_fate_bound	wh_main_spell_upgraded_ap_damage_explosion_ranged
spell_truth_wings_fate_bound	wh2_main_all_magical_damage_moderate
darkened_skies	wh_main_all_direct_damage
darkened_skies	wh_main_all_direct_damage_resist_high
murder_crows_upgraded	wh_main_all_direct_damage
murder_crows_upgraded	wh_main_all_direct_damage_resist_high
murder_crows_upgraded	wh_main_all_strong_against_multiple
murder_crows_upgraded	wh_main_all_weak_against_single
murder_crows_upgraded	wh2_main_spell_upgraded_cooldown
murder_crows_upgraded	wh_main_spell_upgraded_added_effect_range
spell_truth_boon_courage_upgraded	wh_main_spell_upgraded_duration
elo_albion_freedom	wh2_dlc12_refuse_to_die
elo_albion_freedom	wh_dlc06_automatic
elo_hengus_blessing	wh_dlc06_automatic
elo_hengus_blessing	elo_hengus_blessing
