ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured	elo_armoured_icetrolls
armour_piercing	elo_armoured_icetrolls
frostbite	elo_armoured_icetrolls
poor_morale	elo_armoured_icetrolls
regeneration	elo_armoured_icetrolls
armour_piercing	elo_southern_trolls
poor_morale	elo_southern_trolls
regeneration	elo_southern_trolls
armoured	elo_red_avalanche
armour_piercing	elo_red_avalanche
frostbite	elo_red_avalanche
regeneration	elo_red_avalanche
regeneration	elo_river_trolls
anti_large	elo_river_trolls
river_troll	elo_river_trolls
poison	elo_river_trolls
regeneration	elo_mountain_trolls
anti_infantry	elo_mountain_trolls
poor_morale	elo_mountain_trolls
rock_solid	elo_mountain_trolls
regeneration	elo_shipwreckers
poison	elo_shipwreckers
river_troll	elo_shipwreckers
anti_large	elo_shipwreckers
regeneration	elo_cha_troll_lord
armour_piercing	elo_cha_troll_lord
anti_infantry	elo_cha_troll_lord
armour_piercing	elo_kin
regeneration	elo_kin
throgg_orders	elo_kin
regeneration	elo_forest_trolls
large_bst	elo_forest_trolls
difficult_to_spot	elo_forest_trolls
anti_infantry	elo_forest_trolls
vanguard_deployment	elo_forest_trolls
defender	elo_bile_trolls
poison	elo_bile_trolls
weak_regeneration	elo_bile_trolls
host_illnesses	elo_bile_trolls
anti_large	elo_snow_troll
regeneration	elo_snow_troll
armour_piercing	elo_snow_troll
big_angry	elo_snow_troll
regeneration	elo_warpstone_trolls
anti_infantry	elo_warpstone_trolls
warpstone_solid	elo_warpstone_trolls
contaminating_attacks	elo_warpstone_trolls
