building_culture_variants_tables	4
building	culture	description	icon	subculture	faction	disables	short_description	display_tooltip
ovn_evil_income_1		wh_main_PLACEHOLDER	nor_incom		wh_dlc08_nor_naglfarlings	false	ovn_evil_income_1	true
ovn_evil_income_2		wh_main_PLACEHOLDER	nor_incom		wh_dlc08_nor_naglfarlings	false	ovn_evil_income_2	true
ovn_evil_income_3		wh_main_PLACEHOLDER	nor_incom		wh_dlc08_nor_naglfarlings	false	ovn_evil_income_3	true
ovn_nor_outpost_major_human_4		wh_main_PLACEHOLDER	dark_elves_city		wh_dlc08_nor_naglfarlings	false	wh_dlc08_special_settlement_norsca	true
ovn_nor_outpost_major_human_4		wh_main_PLACEHOLDER	dark_elves_city_ruin	wh_main_sc_nor_fimir		false	wh_dlc08_special_settlement_norsca	true
ovn_nor_outpost_major_human_4		wh_main_PLACEHOLDER	ovn_troll_cave	wh_main_sc_nor_troll		false	ovn_troll_5	true
wh_main_nor_outpost_military_4		wh_main_PLACEHOLDER	chaos_magic		wh_dlc08_nor_naglfarlings	false	wh_main_horde_chaos_magic_2	true
wh_main_nor_outpost_garrison_4		wh_main_PLACEHOLDER	vampire_garrison		wh_dlc08_nor_naglfarlings	false	wh_main_horde_chaos_settlement_4	true
wh_main_nor_outpost_stables_4		wh_main_PLACEHOLDER	nor_beastmasters		wh_dlc08_nor_naglfarlings	false	wh_main_horde_chaos_knights_1	true
wh_main_nor_outpost_stables_4		wh_main_PLACEHOLDER	nor_beastmasters	wh_main_sc_nor_fimir		false	wh_main_horde_chaos_knights_1	true
wh_main_nor_outpost_major_human_4_coast		wh_main_PLACEHOLDER	dark_elves_city		wh_dlc08_nor_naglfarlings	false	wh_dlc08_special_settlement_norsca	true
wh_main_nor_outpost_major_human_4_coast		wh_main_PLACEHOLDER	dark_elves_city_ruin	wh_main_sc_nor_fimir		false	wh_dlc08_special_settlement_norsca	true
wh_main_nor_outpost_major_human_4_coast		wh_main_PLACEHOLDER	ovn_troll_cave	wh_main_sc_nor_troll		false	ovn_troll_5	true
