Loc PackedFile	1
key	text	tooltip
land_units_onscreen_name_azguz_bloodfist_dwarf_warriors	Azguz Bloodfist's Dwarf Warriors	true
land_units_onscreen_name_black_avangers	Black Avengers	true
land_units_onscreen_name_carlsson_cavalry	Carlsson's Cavalry	true
land_units_onscreen_name_carlsson_guard	Carlsson's Guard	true
land_units_onscreen_name_countess_guard	Countess Guard	true
land_units_onscreen_name_dargrimm_firebeard_dwarf_warriors	Dargrimm Firebeard's Dwarf Warriors	true
land_units_onscreen_name_elrod_wood_elf_glade_guards	Elrod's Wood Elf Glade Guards	true
land_units_onscreen_name_galed_elf_archers	Galed's Elf Archers	true
land_units_onscreen_name_grudgebringer_cannon	Grudgebringer Cannon	true
land_units_onscreen_name_grudgebringer_cavalry	Grudgebringer Cavalry	true
land_units_onscreen_name_grudgebringer_crossbow	Grudgebringer Crossbows	true
land_units_onscreen_name_grudgebringer_infantry	Grudgebringer Infantry	true
land_units_onscreen_name_helmgart_bowmen	Helmgart Bowmen	true
land_units_onscreen_name_keelers_longbows	Keeler's Longbows	true
land_units_onscreen_name_treeman_knarlroot	Treeman Knarlroot	true
land_units_onscreen_name_urblab_rotgut_mercenary_ogres	Urblab Rotgut's Mercenary Ogres	true
land_units_onscreen_name_vannheim_75th	Vannheim's 75th	true
land_units_onscreen_name_treeman_gnarl_fist	Treeman Gnarl Fist	true
land_units_onscreen_name_ceridan	Ceridan the Lone Ranger	true
land_units_onscreen_name_ragnar_wolves	Ragnar's Wolves	true
