mounts_tables	10
key	animation	entity	audio_armour_type	variant	voiceover
ovn_arb_mnt_camel	hr1_warhorse	ovn_camel	body	ovn_arb_camel	wh_main_vo_culture_Horse
ovn_mnt_war_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	ovn_arb_war_elephant_ror	vo_culture_Invalid
wh_main_arb_mnt_magic_carpet	hr1_flying_carpet	wh_main_flying_magic_carpet	leather	wh_arb_magic_carpet	wh_main_vo_culture_None
wh_main_mnt_elephant	hq3_araby_elephant	wh_main_arb_mon_elephant_blood	body	wh_main_arb_elephant	vo_culture_Invalid
wh_main_mnt_war_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	wh_main_arb_war_elephant	vo_culture_Invalid
wh_main_mnt_royal_war_elephant	hq3_araby_elephant	wh_main_arb_mon_royal_elephant_blood	chainmail	wh_main_arb_royal_war_elephant	vo_culture_Invalid
ovn_arb_mnt_scorpion	sc1_scorpion01	ovn_arb_mon_scorpion	bone	ovn_arb_cav_scorpion	vo_culture_None
ovn_araby_ll_mount	bc2_deathclaw	wh_main_flying_griffon_blood	plate	wh_dlc03_emp_amber_wizard_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
ovn_elephantmount	hq3_mammoth	wh_main_arb_mon_royal_elephant_blood	chainmail	wh_main_arb_royal_war_elephant	vo_culture_Invalid
ovn_cat_horse	hr1_warhorse	ovn_cat_horse	plate	ovn_cat_horse	wh_main_vo_culture_Horse
ovn_knight_horse	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	plate	ovn_knight_horse	wh_main_vo_culture_Horse
ovn_muktar_horse	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	plate	arb_knight_horse_muktar	wh_main_vo_culture_Horse
ovn_cat_horse_ror	hr1_warhorse	ovn_cat_horse	plate	ovn_cat_horse_ror	wh_main_vo_culture_Horse
arb_kasabar_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	arb_kasabar_elephant	vo_culture_Invalid
arb_fatandira_warhorse	hr1_warhorse	albion_warhorse_noble_entity	leather	arb_fatandira_warhorse	wh_main_vo_culture_Horse
arb_fatandira_roc	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	arb_fatandira_roc	wh_main_vo_culture_Hawk
