ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/ovn_lost_factions_gold	
ovn_lore_rot	ovn_rbt_ch_blightstormer
wh_dlc03_lore_beasts	wh_dlc08_nor_cha_fimir_balefiend_beast
wh_main_lore_death	wh_dlc08_nor_cha_fimir_balefiend_death
wh_dlc05_lore_shadows	ovn_com_cha_olorin_the_grey_wizard_0
wh_dlc05_lore_life	ovn_arb_cha_magician_life_0
ovn_lore_desert	ovn_arb_cha_magician_desert_0
wh_main_lore_fire	ovn_arb_cha_magician_fire_0
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_0
wh_dlc05_lore_life	ovn_arb_cha_magician_life_1
ovn_lore_desert	ovn_arb_cha_magician_desert_1
wh_main_lore_fire	ovn_arb_cha_magician_fire_1
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_1
wh_dlc05_lore_life	ovn_arb_cha_magician_life_2
ovn_lore_desert	ovn_arb_cha_magician_desert_2
wh_main_lore_fire	ovn_arb_cha_magician_fire_2
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_2
wh_main_lore_jaffar	Sultan_Jaffar
wh_main_lore_jaffar	Sultan_Jaffar_camel
wh_main_lore_jaffar	Sultan_Jaffar_elephant
wh_dlc03_lore_beasts	albion_truthsayer_beast
wh_dlc03_lore_beasts	albion_truthsayer_beast_horse
wh_dlc05_lore_life	albion_truthsayer_life
wh_dlc05_lore_life	albion_truthsayer_life_horse
wh_main_lore_light	albion_truthsayer_light
wh_main_lore_light	albion_truthsayer_light_horse
elo_lore_truthsayer	albion_truthsayer_truth
elo_lore_truthsayer	albion_truthsayer_truth_horse
elo_lore_morrigan	albion_morrigan
elo_lore_morrigan	albion_morrigan_bird
elo_lore_wyrd	albion_wyrd_druid
elo_lore_wyrd	albion_wyrd_druid_horse
elo_lore_truthsayer	bl_elo_dural_durak
elo_lore_truthsayer	bl_elo_dural_durak_horse
elo_lore_truthsayer	bl_elo_dural_durak_chariot
wh_main_lore_vampires	elo_dread_larenscheld
wh_main_lore_cold_witchering	vladimir_stormbringer
wh_main_lore_winter_rage	vladimir_stormbringer
wh_main_lore_vampires	elo_liche_general
wh_main_lore_vampires	elo_liche_general_barded_steed
wh_main_lore_vampires	elo_liche_general_chariot
wh_main_lore_vampires	elo_liche_general_warsphinx
wh_main_lore_vampires	elo_hand_of_nagash
wh_main_lore_vampires	elo_hand_of_nagash_chariot
wh_main_lore_death	Dread_King
wh_main_lore_death	Dread_King_2
wh2_main_lore_dark_magic	fim_meargh_skattach
ovn_lore_golden_magus	arb_golden_magus
ovn_lore_golden_magus	arb_golden_magus_camel
ovn_lore_golden_magus	arb_golden_magus_skiff
wh_main_lore_fire	arb_vizier_fire_0
wh_main_lore_fire	arb_vizier_fire_1
wh_main_lore_fire	arb_vizier_fire_2
wh_dlc05_lore_life	arb_vizier_life_0
wh_dlc05_lore_life	arb_vizier_life_1
wh_dlc05_lore_life	arb_vizier_life_2
wh_main_lore_heavens	arb_vizier_heavens_0
wh_main_lore_heavens	arb_vizier_heavens_1
wh_main_lore_heavens	arb_vizier_heavens_2
ovn_lore_desert	arb_vizier_desert_0
ovn_lore_desert	arb_vizier_desert_1
ovn_lore_desert	arb_vizier_desert_2
elo_lore_boglar	elo_boglar_shaman
elo_lore_boglar	elo_boglar_shaman_hound
wh_main_lore_vampires	vmp_cha_walach
wh_main_lore_vampires	vmp_cha_walach_nightmare
elo_sea_hag_lore	elo_sea_hag
