key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
#technology_nodes_tables;3;db/technology_nodes_tables/!_ovn_techs											
ovn_amazons_tech_dummy_tech		wh2_main_amz_amazons	-2	tech_dwf_civ_5_0	ovn_amazons_tech	0	999999	0	0		
grudge_tech_1		wh2_main_emp_grudgebringers	7	grudge_tech_1	emp_civ_reworkd	4	500	1000	0		
grudge_tech_2		wh2_main_emp_grudgebringers	8	grudge_tech_2	emp_civ_reworkd	4	500	1000	0		
grudge_tech_3		wh2_main_emp_grudgebringers	7	grudge_tech_3	emp_civ_reworkd	5	500	1000	0		
grudge_tech_4		wh2_main_emp_grudgebringers	8	grudge_tech_4	emp_civ_reworkd	5	500	1000	0		
tech_ovn_no_electors_3		wh2_main_emp_the_moot	7	tech_dlc13_emp_wulfhart_2	emp_civ_reworkd	4	500	0	0		
tech_ovn_no_electors_4		wh2_main_emp_the_moot	8	tech_dlc13_emp_wulfhart_3	emp_civ_reworkd	4	500	0	0		
tech_ovn_hlf_soup_1		wh2_main_emp_the_moot	8	tech_ovn_hlf_soup_1	emp_civ_reworkd	6	1500	10000	0	hlf_soup	
tech_ovn_hlf_soup_2		wh2_main_emp_the_moot	8	tech_ovn_hlf_soup_2	emp_civ_reworkd	7	500	1000	0	hlf_soup	
tech_ovn_hlf_soup_3		wh2_main_emp_the_moot	7	tech_ovn_hlf_soup_3	emp_civ_reworkd	6	400	0	0	hlf_soup	
tech_ovn_hlf_soup_4		wh2_main_emp_the_moot	7	tech_ovn_hlf_soup_4	emp_civ_reworkd	7	500	0	0	hlf_soup	
tech_ovn_troll_1		wh2_main_nor_trollz	18	tech_ovn_troll_1	nor_mil	1	1000	500	0		
tech_ovn_troll_2		wh2_main_nor_trollz	10	tech_ovn_troll_2	nor_mil	3	3500	0	0		
tech_ovn_troll_3		wh2_main_nor_trollz	14	tech_ovn_troll_3	nor_mil	6	1000	500	0		
tech_ovn_troll_4		wh2_main_nor_trollz	15	tech_ovn_troll_4	nor_mil	2	2000	0	0		
tech_ovn_troll_5		wh2_main_nor_trollz	16	tech_ovn_troll_5	nor_mil	4	1000	0	0		
tech_ovn_troll_6		wh2_main_nor_trollz	11	tech_ovn_troll_6	nor_mil	5	2000	0	0		
tech_ovn_troll_7		wh2_main_nor_trollz	13	tech_ovn_troll_7	nor_mil	1	2500	0	0		
tech_ovn_troll_8		wh2_main_nor_trollz	13	tech_ovn_troll_8	nor_mil	4	1000	500	0		
tech_ovn_troll_9		wh2_main_nor_trollz	18	tech_ovn_troll_9	nor_mil	6	5000	0	0		
ovn_araby_tech_dummy_tech		wh2_dlc11_cst_vampire_coast_qb1	0	tech_dwf_civ_5_0	ovn_araby_tech	0	999999	0	0		
araby_tech_good_1			2	araby_tech_good_1	ovn_araby_tech	0	400	0	0		
araby_tech_good_2			1	araby_tech_good_2	ovn_araby_tech	1	800	0	0		
araby_tech_good_3			1	araby_tech_good_3	ovn_araby_tech	2	1000	0	0		
araby_tech_good_4			2	araby_tech_good_4	ovn_araby_tech	2	1000	0	0		
araby_tech_good_5			3	araby_tech_good_5	ovn_araby_tech	2	1000	0	0		
araby_tech_good_6			2	araby_tech_good_6	ovn_araby_tech	3	1600	0	0		
araby_tech_good_7			3	araby_tech_good_7	ovn_araby_tech	3	1600	0	0		
araby_tech_good_8			4	araby_tech_good_8	ovn_araby_tech	3	1800	0	0		
araby_tech_bad_1			7	araby_tech_bad_1	ovn_araby_tech	0	500	0	0		
araby_tech_bad_2			8	araby_tech_bad_2	ovn_araby_tech	1	900	0	0		
araby_tech_bad_3			6	araby_tech_bad_3	ovn_araby_tech	2	1200	0	0		
araby_tech_bad_4			7	araby_tech_bad_4	ovn_araby_tech	2	1200	0	0		
araby_tech_bad_5			8	araby_tech_bad_5	ovn_araby_tech	2	1200	0	0		
araby_tech_bad_6			5	araby_tech_bad_6	ovn_araby_tech	3	2000	0	0		
araby_tech_bad_7			6	araby_tech_bad_7	ovn_araby_tech	3	1600	0	0		
araby_tech_bad_8			7	araby_tech_bad_8	ovn_araby_tech	3	1600	0	0		
araby_tech_neu_1			2	araby_tech_neu_1	ovn_araby_tech	5	800	0	0		
araby_tech_neu_0			1	araby_tech_neu_0	ovn_araby_tech	6	800	0	0		
araby_tech_neu_2			3	araby_tech_neu_2	ovn_araby_tech	5	800	0	0		
araby_tech_neu_3			4	araby_tech_neu_3	ovn_araby_tech	6	800	0	0		
araby_tech_neu_4			5	araby_tech_neu_4	ovn_araby_tech	6	600	0	0		
araby_tech_neu_5			6	araby_tech_neu_5	ovn_araby_tech	5	800	0	0		
araby_tech_neu_6			7	araby_tech_neu_6	ovn_araby_tech	5	500	0	0		
araby_tech_neu_eco_1			2	araby_tech_neu_eco_1	ovn_araby_tech	8	800	0	0		
araby_tech_neu_eco_0			1	araby_tech_neu_eco_0	ovn_araby_tech	7	800	0	0		
araby_tech_neu_eco_2			3	araby_tech_neu_eco_2	ovn_araby_tech	8	800	0	0		
araby_tech_neu_eco_3			4	araby_tech_neu_eco_3	ovn_araby_tech	7	800	0	0		
araby_tech_neu_eco_4			5	araby_tech_neu_eco_4	ovn_araby_tech	7	600	0	0		
araby_tech_neu_eco_5			6	araby_tech_neu_eco_5	ovn_araby_tech	8	800	0	0		
