battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/ovn_dread_king	
hu1_graveguard_2handed_sword	wh2_dlc09_tmb_tomb_kings
hu1_empire_staff_and_sword	wh2_dlc09_tmb_tomb_kings
gh1_cairn_wraith	wh2_dlc09_tmb_tomb_kings
hu1_krell_2handed_axe	wh2_dlc09_tmb_tomb_kings
hu1_bretonnian_hr1_warhorse_2handed_sword	wh2_dlc09_tmb_tomb_kings
hu1d_elf_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_empire_2handed_sword	wh2_dlc09_tmb_tomb_kings
hu1_vampire_zombie_sword	wh2_dlc09_tmb_tomb_kings
hu1_vlad_sword	wh2_dlc09_tmb_tomb_kings
hu1_empire_hr1_warhorse_sword_and_shield	wh2_dlc09_tmb_tomb_kings
hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	wh2_dlc09_tmb_tomb_kings
hr1_warhorse	wh2_dlc09_tmb_tomb_kings
dr1_dragon_zombie	wh2_dlc09_tmb_tomb_kings
hu1_empire_hr1_warhorse_lance_sword_shield	wh2_dlc09_tmb_tomb_kings
hu1_black_knights_hr1_skeletal_steed_lance_sword_shield	wh2_dlc09_tmb_tomb_kings
hr1_tomb_steed	wh2_dlc09_tmb_tomb_kings
hr1_skeletal_steed_draught	wh2_dlc09_tmb_tomb_kings
hr1_pegasus	wh2_dlc09_tmb_tomb_kings
hr1_skeletal_steed	wh2_dlc09_tmb_tomb_kings
hr1_hexwraiths_skeletal_steed	wh2_dlc09_tmb_tomb_kings
hu1_skeleton_sword_and_shield	wh2_dlc09_tmb_tomb_kings
hu4_giant_club	wh_main_vmp_vampire_counts
hu4_giant_club	wh2_dlc09_tmb_tomb_kings
hu1_graveguard_sword_and_shield	wh2_dlc09_tmb_tomb_kings
hu1d_dlc15_eltharion_spear_sword	wh2_dlc09_tmb_tomb_kings
