building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
ovn_blood_keep	wh2_main_effect_building_unit_recruitment_duration_vmp_bloodknights	region_to_province_own	-1.0	-1.0	0.0
ovn_blood_keep	wh2_main_effect_leadership_increase_blood_knights	faction_to_force_own	10.0	5.0	0.0
ovn_blood_keep	wh2_main_effect_tech_recruitment_cost_reduction_blood_knights	faction_to_force_own	-10.0	-10.0	0.0
ovn_blood_keep	wh2_main_effect_tech_unit_xp_levels_blood_knights	province_to_province_own	2.0	1.0	0.0
ovn_blood_keep	wh2_main_effect_tech_upkeep_reduction_blood_knights	province_to_province_own	-15.0	-5.0	0.0
ovn_blood_keep	wh_main_effect_agent_enable_recruitment_dignitary_vampire_counts	province_to_province_own	1.0	1.0	0.0
ovn_blood_keep	wh_main_effect_agent_recruitment_xp_dignitary_vampire_counts	province_to_province_own_factionwide	1.0	1.0	0.0
ovn_blood_keep	wh_main_effect_building_vampiric_mercenary_replenishment_blood_knights	faction_to_faction_own	3.0	0.0	0.0
ovn_blood_keep	wh2_dlc11_vmp_skill_battle_units_charge_black_knights_blood_knights	faction_to_force_own	10.0	5.0	0.0
ovn_blood_keep	wh2_dlc11_vmp_skill_battle_units_speed_black_knights_blood_knights	faction_to_force_own	10.0	5.0	0.0
ovn_blood_landmark	wh_main_effect_public_order_base	province_to_province_own	3.0	1.0	0.0
ovn_blood_landmark	wh_main_effect_agent_recruitment_xp_dignitary_vampire_counts	faction_to_province_own	3.0	1.0	0.0
ovn_blood_landmark	wh_main_effect_agent_cap_increase_dignitary_vampire	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_blood_landmark	wh_main_effect_agent_enable_recruitment_dignitary_vampire_counts	province_to_province_own	1.0	1.0	0.0
