projectiles_tables	45
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	scaling_damage
javelins_anti_shield	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	40.0	10.0	0.0	17	5	false	false	0.1	8.0	70.0	2.0	0	0	15	wh_chs_javelin		wh_javelin	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	true	50	low	150	false	false	false	false	1	false	false	false	false	
stonethrower_rock	artillery	artillery_default	stonethrower_explosion	axe_spin	1	low	400	35	60	70.0	10.0	0.0	40	150	false	false	0.2	20.0	300.0	90.0	0	0	0	wh_brt_trebuchet_stone		wh_catapult_rock_normal	0.5	true		false	-1.0	1	0.0	120.0			0.0	false	false	45	high	700	false	false	false	false	1	false	false	true	true	
albion_hunting_bow	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0	10.0	0.0	19	4	false	false	0.1	11.0	120.0	4.5	0	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false	
albion_riders_javelins	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	46.0	10.0	0.0	17	7	false	false	0.1	8.0	55.0	2.3	0	0	0	wh_chs_javelin		wh_javelin	-1.0	false		false	-1.0	1	0.0	1.0			0.0	false	true	50	low	150	false	false	false	false	1	false	false	false	false	
wings_fate	artillery	artillery_default	wh2_dlc09_casket_of_souls	none	5	dual_low_fixed	250	10	88	60.0	10.0	10.0	85	50	false	false	0.25	1.0	200.0	0.5	0	0	0	crow_projectile		wh_magic_burning_gaze	0.25	false		false	-1.0	1	1.0	50.0	truth_crow		0.0	true	true	45	medium_magic	-1	false	false	false	true	1	false	false	false	false	
wings_fate_upgraded	artillery	artillery_default	wh2_dlc09_casket_of_souls	none	10	dual_low_fixed	250	10	88	60.0	10.0	10.0	100	170	false	false	0.25	1.0	200.0	0.5	0	0	0	crow_projectile		wh_magic_burning_gaze	0.25	false		false	-1.0	1	1.0	50.0	truth_crow		0.0	true	true	45	medium_magic	-1	false	false	false	true	1	false	false	false	false	
albion_warden_bow	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0	15.0	0.0	9	18	false	false	0.1	11.0	120.0	4.5	0	0	0	wh_dlc05_wef_swiftshiver_arrow		wh_bow_arrow_normal	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false	
centaur_hunter_axes	axe	small_arm_default		axe_spin	1	dual_low_fixed	70	0	60	32.0	15.0	0.0	8	20	false	false	0.12	10.0	35.0	2.0	0	0	10	wh_dlc03_bst_centigor_throwing_axe		wh_throwing_axe	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	true	50	low	140	false	false	false	false	1	false	false	false	false	
giant_boulder_cachtorr	artillery	artillery_default	giant_boulder_explosion_cachtorr	shell_spin	1	low	450	10	60	75.0	35.0	0.0	92	440	false	false	2.0	12.0	400.0	70.0	50	0	0	wh_bst_cygor_boulder		wh_catapult_rock_normal	2.5	true		false	-1.0	1	0.0	350.0			0.0	false	true	45	high	700	false	false	false	false	1	false	false	true	true	
boulder_shrapnel_cachtorr	artillery	artillery_default	boulder_shrapnel_explosion	shell_spin	1	fixed	10	0	10	15.0	10.0	15.0	12	36	false	false	1.0	13.0	100.0	10.0	50	0	0	wh_gen_stone_shrapnel		wh_rock_split	1.0	true		false	-1.0	1	0.0	50.0			0.0	false	true	45	high	700	false	false	true	false	1	false	false	true	true	
